Cod DCI,Denumirea Comuna Internationala (DCI),Cod DCI_sec,Denumirea comună internațională (DCI),Cod DC,Cod DC_sec,Denumirea comercială (DC),Cod ATC,coverage_type,Grupa maladiilor pentru compensare,"Cod CIM 
de diagnostic/limitare indicație",Firma producătoare,manufacturer_label,Ţara
524,LEVETIRACETAMUM,,,5242001,,Levetiracetam Desitin®,N03AX14,Full,Pentru tratamentul epilepsiei,,"Desitin Arzneimittel GmbH, Germania(PROD: Desitin Arzneimittel GmbH, Germania; )",Desitin Arzneimittel,Germania
524,LEVETIRACETAMUM,,,5243001,,Levetiracetam Desitin®,N03AX14,Full,Pentru tratamentul epilepsiei,,"Desitin Arzneimittel GmbH, Germania(PROD: Desitin Arzneimittel GmbH, Germania; )",Desitin Arzneimittel,Germania
822,DEXKETOPROFENUM,922,,8221012,9221012,Ketavel,M01AE17,Full,pentru tratamentul episodic,,"Deva Holding A S, Turcia(PROD: Deva Holding A.S., Turcia; )",Deva Holding A.Ş.,Turcia
402,DEXKETOPROFENUM,,,4021012,,Ketavel,M01AE17,Full,Pentru tratamentul în Îngrijiri paliative,,"Deva Holding A S, Turcia(PROD: Deva Holding A.S., Turcia; )",Deva Holding A.Ş.,Turcia
233,MONTELUKASTUM,,,2333001,,Lucamont™,R03DC03,Full,Pentru tratamentul astmului bronşic la copii 0-18 ani,,"Deva Holding A S, Turcia(PROD: Deva Holding A.S., Turcia; )",Deva Holding A.Ş.,Turcia
812,CEFTRIAXONUM,912,,8125011,9125011,Desefin 1 g IM,J01DD04,Full,pentru tratamentul episodic,,"Deva Holding A S, Turcia(PROD: Deva Holding A.Ș., Turcia; )",Deva Holding A.Ş.,Turcia
302,ACIDUM FOLICUM,,,3022006,,Folfull,B03BB01,Full,Pentru profilaxia şi tratamentul anemiilor la femei gravide şi profilaxia malformaţiilor,,"Deva Holding A.Ş. , Turcia(PROD: Deva Holding A.Ş, Turcia; )",Deva Holding A.Ş.,Turcia
58,SALMETEROLUM+FLUTICASONUM,,,585003,,Respiro,R03AK06,Partial,Pentru tratamentul maladiilor respiratorii,,"Deva Holding A.Ş. , Turcia(PROD: Deva Holding A.Ş., Turcia; )",Deva Holding A.Ş.,Turcia
,AMOXICILLINUM+ACIDUM CLAVULANICUM,228,,,2284010,Amoklavin ES,J01CR02,Full,pentru tratamentul episodic,,"Deva Holding A.Ş. , Turcia(PROD: Deva Holding A.Ș., Turcia; )",Deva Holding A.Ş.,Turcia
808,AZITHROMYCINUM,229,,8083005,2293005,Azinfexin™,J01FA10,Full,pentru tratamentul episodic,,"Deva Holding A.Ş., Turcia",Deva Holding A.Ş.,Turcia
808,AZITHROMYCINUM,229,,8084007,2294007,Azinfexin™,J01FA10,Full,pentru tratamentul episodic,,"Deva Holding A.Ş., Turcia",Deva Holding A.Ş.,Turcia
805,AMOXICILLINUM,202,,8056005,2026005,Amoxicillin 1 g,J01CA04,Full,pentru tratamentul episodic,,"Dita EstFarm SRL, Republica Moldova(PROD: Reyoung Pharmaceutical Co. Ltd., China; )",Dita EstFarm,Republica Moldova
805,AMOXICILLINUM,202,,8056005,2026005,Amoxicillin 1 g,J01CA04,Full,pentru tratamentul episodic,,"Dita EstFarm SRL, Republica Moldova(PROD: Reyoung Pharmaceutical Co. Ltd., China; )",Dita EstFarm,Republica Moldova
806,AMOXICILLINUM+ACIDUM CLAVULANICUM,228,,8066005,2286005,Amoxicillin & Clavulanic acid 1000 mg/200 mg,J01CR02,Full,pentru tratamentul episodic,,"Dita EstFarm SRL, Republica Moldova(PROD: Reyoung Pharmaceutical Co. Ltd., China; )",Dita EstFarm,Republica Moldova
806,AMOXICILLINUM+ACIDUM CLAVULANICUM,228,,8066005,2286005,Amoxicillin & Clavulanic acid 1000 mg/200 mg,J01CR02,Full,pentru tratamentul episodic,,"Dita EstFarm SRL, Republica Moldova(PROD: Reyoung Pharmaceutical Co. Ltd., China; )",Dita EstFarm,Republica Moldova
807,AMPICILLINUM,907,,8076002,9076002,Ampicillin 1 g,J01CA01,Full,pentru tratamentul episodic,,"Dita EstFarm SRL, Republica Moldova(PROD: Reyoung Pharmaceutical Co. Ltd., China; )",Dita EstFarm,Republica Moldova
813,CEFOPERAZONUM,913,,8131006,9131006,Cefoperazone 1 g,J01DD12,Full,pentru tratamentul episodic,,"Dita EstFarm SRL, Republica Moldova(PROD: Reyoung Pharmaceutical Co. Ltd., China; )",Dita EstFarm,Republica Moldova
813,CEFOPERAZONUM,913,,8131006,9131006,Cefoperazone 1 g,J01DD12,Full,pentru tratamentul episodic,,"Dita EstFarm SRL, Republica Moldova(PROD: Reyoung Pharmaceutical Co. Ltd., China; )",Dita EstFarm,Republica Moldova
813,CEFOPERAZONUM,913,,8132003,9132003,Cefoperazone 2 g,J01DD12,Full,pentru tratamentul episodic,,"Dita EstFarm SRL, Republica Moldova(PROD: Reyoung Pharmaceutical Co. Ltd., China; )",Dita EstFarm,Republica Moldova
813,CEFOPERAZONUM,913,,8132003,9132003,Cefoperazone 2 g,J01DD12,Full,pentru tratamentul episodic,,"Dita EstFarm SRL, Republica Moldova(PROD: Reyoung Pharmaceutical Co. Ltd., China; )",Dita EstFarm,Republica Moldova
812,CEFTRIAXONUM,912,,8126002,9126002,Ceftriaxone,J01DD04,Full,pentru tratamentul episodic,,"Dita EstFarm SRL, Republica Moldova(PROD: Reyoung Pharmaceutical Co. Ltd., China; )",Dita EstFarm,Republica Moldova
824,DICLOFENACUM,924,,8243014,9243014,Diclofenac sodium,M01AB05,Full,pentru tratamentul episodic,,"Dita EstFarm SRL, Republica Moldova(PROD: Reyoung Pharmaceutical Co. Ltd., China; )",Dita EstFarm,Republica Moldova
864,PANTOPRAZOLUM,964,,8641008,9641008,Nedis,A02BC02,Full,pentru tratamentul episodic,,"Dr. Reddy's Laboratories Ltd, România(PROD: Dr. Reddy's Laboratories (UK) Ltd., Marea Britanie; )",Dr. Reddy's,România
35,OMEPRAZOLUM,941,,351035,9411035,Omez 20 mg,A02BC01,Full,pentru tratamentul episodic,,"Dr. Reddy’s Laboratories România SRL, România(PROD: Esteve Pharmaceuticals S.A., Spania; )",Dr. Reddy's,România
35,OMEPRAZOLUM,941,,353001,9413001,Omez 40 mg,A02BC01,Full,pentru tratamentul episodic,,"Dr. Reddy’s Laboratories România SRL, România(PROD: Towa Pharmaceutical Europe S.L., Spania; )",Dr. Reddy's,România
,AMBROXOLUM,227,,,2271006,Pulmoxol™,R05CB06,Full,pentru tratamentul episodic,,Drogsan İlaçlari Sanayi ve Ticaret A.Ş.,Drogsan İlaçlari Sanayi ve Ticaret A.Ş.,Turcia
,AMBROXOLUM,227,,,2273009,Pulmoxol™,R05CB06,Full,pentru tratamentul episodic,,Drogsan İlaçlari Sanayi ve Ticaret A.Ş.,Drogsan İlaçlari Sanayi ve Ticaret A.Ş.,Turcia
864,PANTOPRAZOLUM,964,,8642001,9642001,Aspan™,A02BC02,Full,pentru tratamentul episodic,,Drogsan İlaçlari Sanayi ve Ticaret A.Ş.,Drogsan İlaçlari Sanayi ve Ticaret A.Ş.,Turcia
864,PANTOPRAZOLUM,964,,8642001,9642001,Aspan™,A02BC02,Full,pentru tratamentul episodic,,Drogsan İlaçlari Sanayi ve Ticaret A.Ş.,Drogsan İlaçlari Sanayi ve Ticaret A.Ş.,Turcia
,AMBROXOLUM,227,,,2271009,Halixol®,R05CB06,Full,pentru tratamentul episodic,,Egis Pharmaceuticals PLC,Egis Pharmaceuticals,Ungaria
,AMBROXOLUM,227,,,2272011,Halixol®,R05CB06,Full,pentru tratamentul episodic,,Egis Pharmaceuticals PLC,Egis Pharmaceuticals,Ungaria
49,CLOPIDOGRELUM,,,491004,,Lodigrel®,B01AC04,Partial,Pentru tratamentul maladiilor cardiovasculare,,Egis Pharmaceuticals PLC,Egis Pharmaceuticals,Ungaria
29,DONEPEZILI HYDROCHLORIDUM,,,291003,,Alzepil®,N06DA02,Partial,Pentru tratamentul demenței(bolii Alzheimer),,Egis Pharmaceuticals PLC,Egis Pharmaceuticals,Ungaria
29,DONEPEZILI HYDROCHLORIDUM,,,292002,,Alzepil®,N06DA02,Partial,Pentru tratamentul demenței(bolii Alzheimer),,Egis Pharmaceuticals PLC,Egis Pharmaceuticals,Ungaria
652,DONEPEZILI HYDROCHLORIDUM,752,,6521003,7521003,Alzepil®,N06DA02,Full,pentru tratamentul episodic,,Egis Pharmaceuticals PLC,Egis Pharmaceuticals,Ungaria
652,DONEPEZILI HYDROCHLORIDUM,752,,6522002,7522002,Alzepil®,N06DA02,Full,pentru tratamentul episodic,,Egis Pharmaceuticals PLC,Egis Pharmaceuticals,Ungaria
301,FERROSI SULFAS + ACIDUM ASCORBICUM,,,3011002,,Sorbifer® Durules®,B03AA07,Full,Pentru profilaxia şi tratamentul anemiilor la femei gravide şi profilaxia malformaţiilor,,Egis Pharmaceuticals PLC,Egis Pharmaceuticals,Ungaria
523,LEVOMEPROMAZINUM,,,5231001,,Tisercin®,N05AA02,Full,Pentru tratamentul bolilor psihice,,Egis Pharmaceuticals PLC,Egis Pharmaceuticals,Ungaria
857,MELOXICAMUM,957,,8572001,9572001,Meloflam®,M01AC06,Full,pentru tratamentul episodic,,Egis Pharmaceuticals PLC,Egis Pharmaceuticals,Ungaria
405,MELOXICAMUM,,,4052001,,Meloflam®,M01AC06,Full,Pentru tratamentul în Îngrijiri paliative,,Egis Pharmaceuticals PLC,Egis Pharmaceuticals,Ungaria
6,METOPROLOLUM,,,61001,,Egilok®,C07AB02,Partial,Pentru tratamentul maladiilor cardiovasculare,,Egis Pharmaceuticals PLC,Egis Pharmaceuticals,Ungaria
6,METOPROLOLUM,,,62006,,Egilok®,C07AB02,Partial,Pentru tratamentul maladiilor cardiovasculare,,Egis Pharmaceuticals PLC,Egis Pharmaceuticals,Ungaria
6,METOPROLOLUM,,,63014,,Egilok®,C07AB02,Partial,Pentru tratamentul maladiilor cardiovasculare,,Egis Pharmaceuticals PLC,Egis Pharmaceuticals,Ungaria
845,PIRACETAMUM,945,,8452001,9452001,Lucetam®,N06BX03,Full,pentru tratamentul episodic,,Egis Pharmaceuticals PLC,Egis Pharmaceuticals,Ungaria
845,PIRACETAMUM,945,,8453001,9453001,Lucetam®,N06BX03,Full,pentru tratamentul episodic,,Egis Pharmaceuticals PLC,Egis Pharmaceuticals,Ungaria
516,RISPERIDONUM,,,5162002,,Rileptid®,N05AX08,Full,Pentru tratamentul bolilor psihice,,Egis Pharmaceuticals PLC,Egis Pharmaceuticals,Ungaria
516,RISPERIDONUM,,,5163002,,Rileptid®,N05AX08,Full,Pentru tratamentul bolilor psihice,,Egis Pharmaceuticals PLC,Egis Pharmaceuticals,Ungaria
517,SERTRALINUM,,,5171003,,Stimuloton®,N06AB06,Full,Pentru tratamentul bolilor psihice,,Egis Pharmaceuticals PLC,Egis Pharmaceuticals,Ungaria
16,RAMIPRILUM,,,163001,,Hartil®,C09AA05,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Egis Pharmaceuticals PLC (prod.: Actavis Ltd, Islanda; Actavis Ltd., Malta; Egis Pharmaceuticals PLC, Ungaria)",Egis Pharmaceuticals,Ungaria
16,RAMIPRILUM,,,162001,,Hartil®,C09AA05,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Egis Pharmaceuticals PLC (prod.: Actavis Ltd., Malta; Egis Pharmaceuticals PLC, Ungaria)",Egis Pharmaceuticals,Ungaria
802,ALLOPURINOLUM,,,8021002,,Milurit®,M04AA01,Partial,pentru maladie Guta,,"Egis Pharmaceuticals PLC (prod.: Egis Pharmaceuticals PLC, Ungaria)",Egis Pharmaceuticals,Ungaria
849,SULFAMETHOXAZOLUM + TRIMETHOPRIMUM,215,,8496003,2156003,Sumetrolim®,J01EE01,Full,pentru tratamentul episodic,,"Egis Pharmaceuticals PLC (prod.: Egis Pharmaceuticals PLC, Ungaria)",Egis Pharmaceuticals,Ungaria
57,TELMISARTANUM,,,571003,,Tiregis®,C09CA07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Egis Pharmaceuticals PLC (prod.: Glenmark Generics Limited , India; Glenmark Pharmaceuticals s.r.o., Cehia)",Egis Pharmaceuticals,Ungaria
57,TELMISARTANUM,,,572001,,Tiregis®,C09CA07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Egis Pharmaceuticals PLC (prod.: Glenmark Generics Limited , India; Glenmark Pharmaceuticals s.r.o., Cehia)",Egis Pharmaceuticals,Ungaria
802,ALLOPURINOLUM,,,8022001,,Milurit®,M04AA01,Partial,pentru maladie Guta,,"Egis Pharmaceuticals PLC, Ungaria(PROD: Egis Pharmaceuticals PLC, Ungaria; )",Egis Pharmaceuticals,Ungaria
845,PIRACETAMUM,945,,8456001,9456001,Lucetam®,N06BX03,Full,pentru tratamentul episodic,,"Egis Pharmaceuticals PLC, Ungaria(PROD: Egis Pharmaceuticals PLC, Ungaria; )",Egis Pharmaceuticals,Ungaria
61,ROSUVASTATINUM,,,612001,,Rosulip®,C10AA07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Egis Pharmaceuticals PLC, Ungaria(PROD: Egis Pharmaceuticals PLC, Ungaria; )",Egis Pharmaceuticals,Ungaria
61,ROSUVASTATINUM,,,613001,,Rosulip®,C10AA07,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Egis Pharmaceuticals PLC, Ungaria(PROD: Egis Pharmaceuticals PLC, Ungaria; )",Egis Pharmaceuticals,Ungaria
,IBUPROFENUM,997,,,9972006,Eurofast,M01AE01,Full,pentru tratamentul episodic,,"Euro Lifecare Ltd., India(PROD: Marksans Pharma Ltd., India; )",Euro Lifecare,India
,IBUPROFENUM,997,,,9972006,Eurofast,M01AE01,Full,pentru tratamentul episodic,,"Euro Lifecare Ltd., India(PROD: Marksans Pharma Ltd., India; )",Euro Lifecare,India
,IBUPROFENUM,997,,,9976007,Eurofast,M01AE01,Full,pentru tratamentul episodic,,"Euro Lifecare Ltd., India(PROD: Marksans Pharma Ltd., India; )",Euro Lifecare,India
,IBUPROFENUM,997,,,9976007,Eurofast,M01AE01,Full,pentru tratamentul episodic,,"Euro Lifecare Ltd., India(PROD: Marksans Pharma Ltd., India; )",Euro Lifecare,India
414,IBUPROFENUM,,,4142006,,Eurofast,M01AE01,Full,Pentru tratamentul în Îngrijiri paliative,,"Euro Lifecare Ltd., India(PROD: Marksans Pharma Ltd., India; )",Euro Lifecare,India
414,IBUPROFENUM,,,4142006,,Eurofast,M01AE01,Full,Pentru tratamentul în Îngrijiri paliative,,"Euro Lifecare Ltd., India(PROD: Marksans Pharma Ltd., India; )",Euro Lifecare,India
414,IBUPROFENUM,,,4146007,,Eurofast,M01AE01,Full,Pentru tratamentul în Îngrijiri paliative,,"Euro Lifecare Ltd., India(PROD: Marksans Pharma Ltd., India; )",Euro Lifecare,India
414,IBUPROFENUM,,,4146007,,Eurofast,M01AE01,Full,Pentru tratamentul în Îngrijiri paliative,,"Euro Lifecare Ltd., India(PROD: Marksans Pharma Ltd., India; )",Euro Lifecare,India
,AMBROXOLUM,227,,,2271019,Bronhocalm,R05CB06,Full,pentru tratamentul episodic,,"Eurofarmaco SA, ÎCS",Eurofarmaco,Republica Moldova
,AMBROXOLUM,227,,,2272009,Bronhocalm,R05CB06,Full,pentru tratamentul episodic,,"Eurofarmaco SA, ÎCS",Eurofarmaco,Republica Moldova
,AMBROXOLUM,227,,,2273004,Bronhocalm,R05CB06,Full,pentru tratamentul episodic,,"Eurofarmaco SA, ÎCS",Eurofarmaco,Republica Moldova
,CARBOCISTEINUM,911,,,9112001,MUCOCISTIN kids,R05CB03,Full,pentru tratamentul episodic,,"Eurofarmaco SA, ÎCS",Eurofarmaco,Republica Moldova
,CARBOCISTEINUM,911,,,9114002,Mucocistin,R05CB03,Full,pentru tratamentul episodic,,"Eurofarmaco SA, ÎCS",Eurofarmaco,Republica Moldova
,CARBOCISTEINUM,911,,,9115002,MUCOCISTIN,R05CB03,Full,pentru tratamentul episodic,,"Eurofarmaco SA, ÎCS",Eurofarmaco,Republica Moldova
49,CLOPIDOGRELUM,,,491014,,Klopidogrel,B01AC04,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Eurofarmaco SA, ÎCS",Eurofarmaco,Republica Moldova
827,DOXYCYCLINUM,927,,8271002,9271002,Doxiciclină,J01AA02,Full,pentru tratamentul episodic,,"Eurofarmaco SA, ÎCS",Eurofarmaco,Republica Moldova
2,ENALAPRILUM,,,22025,,Enatens,C09AA02,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Eurofarmaco SA, ÎCS",Eurofarmaco,Republica Moldova
2,ENALAPRILUM,,,23017,,Enatens,C09AA02,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Eurofarmaco SA, ÎCS",Eurofarmaco,Republica Moldova
2,ENALAPRILUM,,,24020,,Enatens,C09AA02,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Eurofarmaco SA, ÎCS",Eurofarmaco,Republica Moldova
,IBUPROFENUM,997,,,9971001,Ibuprofen,M01AE01,Full,pentru tratamentul episodic,,"Eurofarmaco SA, ÎCS",Eurofarmaco,Republica Moldova
414,IBUPROFENUM,,,4141001,,Ibuprofen,M01AE01,Full,Pentru tratamentul în Îngrijiri paliative,,"Eurofarmaco SA, ÎCS",Eurofarmaco,Republica Moldova
857,MELOXICAMUM,957,,8572003,9572003,Meloxicam,M01AC06,Full,pentru tratamentul episodic,,"Eurofarmaco SA, ÎCS",Eurofarmaco,Republica Moldova
405,MELOXICAMUM,,,4052003,,Meloxicam,M01AC06,Full,Pentru tratamentul în Îngrijiri paliative,,"Eurofarmaco SA, ÎCS",Eurofarmaco,Republica Moldova
6,METOPROLOLUM,,,61008,,Metoprolol,C07AB02,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Eurofarmaco SA, ÎCS",Eurofarmaco,Republica Moldova
6,METOPROLOLUM,,,61008,,Metoprolol,C07AB02,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Eurofarmaco SA, ÎCS",Eurofarmaco,Republica Moldova
6,METOPROLOLUM,,,62010,,Metoprolol,C07AB02,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Eurofarmaco SA, ÎCS",Eurofarmaco,Republica Moldova
6,METOPROLOLUM,,,62010,,Metoprolol,C07AB02,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Eurofarmaco SA, ÎCS",Eurofarmaco,Republica Moldova
,PARACETAMOLUM,205,,,2051002,Paracetamol,N02BE01,Full,pentru tratamentul episodic,,"Eurofarmaco SA, ÎCS",Eurofarmaco,Republica Moldova
,PARACETAMOLUM,205,,,2058005,Paracetamol,N02BE01,Full,pentru tratamentul episodic,,"Eurofarmaco SA, ÎCS",Eurofarmaco,Republica Moldova
407,PARACETAMOLUM,,,4071002,,Paracetamol,N02BE01,Full,Pentru tratamentul în Îngrijiri paliative,,"Eurofarmaco SA, ÎCS",Eurofarmaco,Republica Moldova
849,SULFAMETHOXAZOLUM + TRIMETHOPRIMUM,215,,8496002,2156002,Biseptrim,J01EE01,Full,pentru tratamentul episodic,,"Eurofarmaco SA, ÎCS",Eurofarmaco,Republica Moldova
808,AZITHROMYCINUM,229,,8084016,2294016,ZytroBact,J01FA10,Full,pentru tratamentul episodic,,"Eurofarmaco SA, ÎCS, Republica Moldova",Eurofarmaco,Republica Moldova
36,FAMOTIDINUM,929,,361016,9291016,Famotidină,A02BA03,Full,pentru tratamentul episodic,,"Eurofarmaco SA, ÎCS, Republica Moldova(PROD: Eurofarmaco SA, ÎCS, Republica Moldova; )",Eurofarmaco,Republica Moldova
36,FAMOTIDINUM,929,,362008,9292008,Famotidină,A02BA03,Full,pentru tratamentul episodic,,"Eurofarmaco SA, ÎCS, Republica Moldova(PROD: Eurofarmaco SA, ÎCS, Republica Moldova; )",Eurofarmaco,Republica Moldova
845,PIRACETAMUM,945,,8452007,9452007,Neuro 400,N06BX03,Full,pentru tratamentul episodic,,"Eurofarmaco SA, ÎCS, Republica Moldova(PROD: Eurofarmaco SA, ÎCS, Republica Moldova; )",Eurofarmaco,Republica Moldova
845,PIRACETAMUM,945,,8453002,9453002,Neuro 800,N06BX03,Full,pentru tratamentul episodic,,"Eurofarmaco SA, ÎCS, Republica Moldova(PROD: Eurofarmaco SA, ÎCS, Republica Moldova; )",Eurofarmaco,Republica Moldova
63,DEFLAZACORTUM,,,631001,,Defal®,H02AB13,Partial,Pentru tratamentul astmului bronşic,,"FAES FARMA S.A., Spania(PROD: FAES FARMA S.A., Spania; )",FAES FARMA,Spania
63,DEFLAZACORTUM,,,632001,,Defal®,H02AB13,Partial,Pentru tratamentul astmului bronşic,,"FAES FARMA S.A., Spania(PROD: FAES FARMA S.A., Spania; )",FAES FARMA,Spania
63,DEFLAZACORTUM,,,633001,,Defal®,H02AB13,Partial,Pentru tratamentul astmului bronşic,,"FAES FARMA S.A., Spania(PROD: FAES FARMA S.A., Spania; )",FAES FARMA,Spania
66,DEFLAZACORTUM,,,661001,,Defal®,H02AB13,Full,Pentru tratamentul astmului bronşic la copii 0-18 ani,,"FAES FARMA S.A., Spania(PROD: FAES FARMA S.A., Spania; )",FAES FARMA,Spania
66,DEFLAZACORTUM,,,662001,,Defal®,H02AB13,Full,Pentru tratamentul astmului bronşic la copii 0-18 ani,,"FAES FARMA S.A., Spania(PROD: FAES FARMA S.A., Spania; )",FAES FARMA,Spania
66,DEFLAZACORTUM,,,663001,,Defal®,H02AB13,Full,Pentru tratamentul astmului bronşic la copii 0-18 ani,,"FAES FARMA S.A., Spania(PROD: FAES FARMA S.A., Spania; )",FAES FARMA,Spania
386,DEFLAZACORTUM,,,3861001,,Defal®,H02AB13,Full,Pentru tratamentul epidermolizei buloase,,"FAES FARMA S.A., Spania(PROD: FAES FARMA S.A., Spania; )",FAES FARMA,Spania
386,DEFLAZACORTUM,,,3862001,,Defal®,H02AB13,Full,Pentru tratamentul epidermolizei buloase,,"FAES FARMA S.A., Spania(PROD: FAES FARMA S.A., Spania; )",FAES FARMA,Spania
386,DEFLAZACORTUM,,,3863001,,Defal®,H02AB13,Full,Pentru tratamentul epidermolizei buloase,,"FAES FARMA S.A., Spania(PROD: FAES FARMA S.A., Spania; )",FAES FARMA,Spania
64,DEFLAZACORTUM,,,641001,,Defal®,H02AB13,Full,Pentru tratamentul bolilor de sistem şi autoimune,,"FAES FARMA S.A., Spania(PROD: FAES FARMA S.A., Spania; )",FAES FARMA,Spania
64,DEFLAZACORTUM,,,642001,,Defal®,H02AB13,Full,Pentru tratamentul bolilor de sistem şi autoimune,,"FAES FARMA S.A., Spania(PROD: FAES FARMA S.A., Spania; )",FAES FARMA,Spania
64,DEFLAZACORTUM,,,643001,,Defal®,H02AB13,Full,Pentru tratamentul bolilor de sistem şi autoimune,,"FAES FARMA S.A., Spania(PROD: FAES FARMA S.A., Spania; )",FAES FARMA,Spania
65,DEFLAZACORTUM,,,651001,,Defal®,H02AB13,Full,Pentru tratamentul distrofiei Duchenne/Becker,,"FAES FARMA S.A., Spania(PROD: FAES FARMA S.A., Spania; )",FAES FARMA,Spania
65,DEFLAZACORTUM,,,652001,,Defal®,H02AB13,Full,Pentru tratamentul distrofiei Duchenne/Becker,,"FAES FARMA S.A., Spania(PROD: FAES FARMA S.A., Spania; )",FAES FARMA,Spania
65,DEFLAZACORTUM,,,653001,,Defal®,H02AB13,Full,Pentru tratamentul distrofiei Duchenne/Becker,,"FAES FARMA S.A., Spania(PROD: FAES FARMA S.A., Spania; )",FAES FARMA,Spania
27,MESALAZINUM,,,276001,,Mecolzine,A07EC02,Partial,Pentru tratamentul maladiilor aparatului digestiv,,"FAES FARMA S.A., Spania(PROD: FAES FARMA S.A., Spania; )",FAES FARMA,Spania
27,MESALAZINUM,,,274003,,Mecolzine,A07EC02,Partial,Pentru tratamentul maladiilor aparatului digestiv,,"FAES FARMA S.A., Spania(PROD: Laboratorios Vitoria S.A, Portugalia; )",FAES FARMA,Spania
,PARACETAMOLUM,205,,,2058002,Panadol® Baby,N02BE01,Full,pentru tratamentul episodic,,"Farmaclair, Franţa",Farmaclair,România
390,BRINZOLAMIDUM,,,3901003,,Brizal,S01EC04,Full,Pentru tratamentul maladiilor oftalmologice,,"Farmak SA, Ucraina(PROD: Farmak SA, Ucraina; )",Farmak,Ucraina
822,DEXKETOPROFENUM,922,,8221014,9221014,Keywer,M01AE17,Full,pentru tratamentul episodic,,"Farmak SA, Ucraina(PROD: Farmak SA, Ucraina; )",Farmak,Ucraina
402,DEXKETOPROFENUM,,,4021014,,Keywer,M01AE17,Full,Pentru tratamentul în Îngrijiri paliative,,"Farmak SA, Ucraina(PROD: Farmak SA, Ucraina; )",Farmak,Ucraina
53,LERCANIDIPINUM,,,531004,,Lercania,C08CA13,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Farmak SA, Ucraina(PROD: Farmak SA, Ucraina; )",Farmak,Ucraina
53,LERCANIDIPINUM,,,532004,,Lercania,C08CA13,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Farmak SA, Ucraina(PROD: Farmak SA, Ucraina; )",Farmak,Ucraina
392,TRAVOPROSTUM,,,3921003,,Glautan,S01EE04,Full,Pentru tratamentul maladiilor oftalmologice,,"Farmak SA, Ucraina(PROD: Farmak SA, Ucraina; )",Farmak,Ucraina
823,DEXAMETHASONUM,923,,8232001,9232001,Dexametazonă fosfat,H02AB02,Full,pentru tratamentul episodic,,Farmak SAP,Farmak,Ucraina
401,DEXAMETHASONUM,,,4012001,,Dexametazonă fosfat,H02AB02,Full,Pentru tratamentul în Îngrijiri paliative,,Farmak SAP,Farmak,Ucraina
398,PILOCARPINUM,,,3981001,,Pilocarpin,S01EB01,Full,Pentru tratamentul maladiilor oftalmologice,,"Farmak SAP, Ucraina(PROD: Farmak SAP, Ucraina; )",Farmak,Ucraina
73,DICLOFENACUM,,,732008,,Diclofenac,M01AB05,Partial,Pentru maladii osteoarticulare,,Farmaprim SRL,Farmaprim,Republica Moldova
73,DICLOFENACUM,,,734006,,Diclofenac,M01AB05,Partial,Pentru maladii osteoarticulare,,Farmaprim SRL,Farmaprim,Republica Moldova
824,DICLOFENACUM,924,,8242008,9242008,Diclofenac,M01AB05,Full,pentru tratamentul episodic,,Farmaprim SRL,Farmaprim,Republica Moldova
824,DICLOFENACUM,924,,8244006,9244006,Diclofenac,M01AB05,Full,pentru tratamentul episodic,,Farmaprim SRL,Farmaprim,Republica Moldova
403,DICLOFENACUM,,,4032008,,Diclofenac,M01AB05,Full,Pentru tratamentul în Îngrijiri paliative,,Farmaprim SRL,Farmaprim,Republica Moldova
403,DICLOFENACUM,,,4034006,,Diclofenac,M01AB05,Full,Pentru tratamentul în Îngrijiri paliative,,Farmaprim SRL,Farmaprim,Republica Moldova
75,BETAMETHASONUM + ACIDUM SALICYLICUM,,,751001,,Glametazon,D07XC01,Partial,Pentru tratamentul psoriazisului,,"Farmaprim SRL, Republica Moldova(PROD: Farmaprim SRL, Republica Moldova; )",Farmaprim,Republica Moldova
,IBUPROFENUM,997,,,9971104,Ibuprofen,M01AE01,Full,pentru tratamentul episodic,,"Farmaprim SRL, Republica Moldova(PROD: Farmaprim SRL, Republica Moldova; )",Farmaprim,Republica Moldova
414,IBUPROFENUM,,,4141104,,Ibuprofen,M01AE01,Full,Pentru tratamentul în Îngrijiri paliative,,"Farmaprim SRL, Republica Moldova(PROD: Farmaprim SRL, Republica Moldova; )",Farmaprim,Republica Moldova
858,KETOPROFENUM,958,,8585003,9585003,Ketoprofen,M01AE03,Full,pentru tratamentul episodic,,"Farmaprim SRL, Republica Moldova(PROD: Farmaprim SRL, Republica Moldova; )",Farmaprim,Republica Moldova
