Cod DCI,Denumirea Comuna Internationala (DCI),Cod DCI_sec,Denumirea comună internațională (DCI),Cod DC,Cod DC_sec,Denumirea comercială (DC),Cod ATC,coverage_type,Grupa maladiilor pentru compensare,"Cod CIM 
de diagnostic/limitare indicație",Firma producătoare,manufacturer_label,Ţara
401,DEXAMETHASONUM,,,4012011,,Dexamethasone - Agio,H02AB02,Full,Pentru tratamentul în Îngrijiri paliative,,"Agio Pharmaceuticals Ltd, India(PROD: Agio Pharmaceuticals Ltd, India; )",Agio Pharmaceuticals,India
525,ARIPIPRAZOLUM,,,5251004,,Aripas,N05AX12,Full,Pentru tratamentul bolilor psihice,,"Ali Raif Ilaç Sanayi A.Ş., Turcia(PROD: Ali Raif Ilaç Sanayi A.Ş., Turcia; )",Ali Raif Ilaç Sanayi A.Ş.,Turcia
525,ARIPIPRAZOLUM,,,5252004,,Aripas,N05AX12,Full,Pentru tratamentul bolilor psihice,,"Ali Raif Ilaç Sanayi A.Ş., Turcia(PROD: Ali Raif Ilaç Sanayi A.Ş., Turcia; )",Ali Raif Ilaç Sanayi A.Ş.,Turcia
836,NATRII CHLORIDUM,936,,8366005,9366005,Clorură de sodiu,B05CB01,Full,pentru tratamentul episodic,,"Anhui Double-Crane Pharmaceutical Co., Ltd",Anhui Double-Crane Pharmaceutical Co.,China
836,NATRII CHLORIDUM,936,,8364004,9364004,Clorură de sodiu,B05CB01,Full,pentru tratamentul episodic,,"Anhui Double-Crane Pharmaceutical Co., Ltd, China(PROD: Anhui Double-Crane Pharmaceutical Co., Ltd, China; )",Anhui Double-Crane Pharmaceutical Co.,China
11,ACIDUM ACETYLSALICYLICUM,,,111018,,Cardiosalin Protec,B01AC06,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Antibiotic-Razgrad AD, Bulgaria(PROD: Balkanpharma-Razgrad AD, Bulgaria; )",Antibiotic-Razgrad AD,Bulgaria
11,ACIDUM ACETYLSALICYLICUM,,,112013,,Cardiosalin Protec,B01AC06,Partial,Pentru tratamentul maladiilor cardiovasculare,,"Antibiotic-Razgrad AD, Bulgaria(PROD: Balkanpharma-Razgrad AD, Bulgaria; )",Antibiotic-Razgrad AD,Bulgaria
650,ACIDUM ACETYLSALICYLICUM,750,,6501018,7501018,Cardiosalin Protec,B01AC06,Full,pentru tratamentul episodic,,"Antibiotic-Razgrad AD, Bulgaria(PROD: Balkanpharma-Razgrad AD, Bulgaria; )",Antibiotic-Razgrad AD,Bulgaria
650,ACIDUM ACETYLSALICYLICUM,750,,6502013,7502013,Cardiosalin Protec,B01AC06,Full,pentru tratamentul episodic,,"Antibiotic-Razgrad AD, Bulgaria(PROD: Balkanpharma-Razgrad AD, Bulgaria; )",Antibiotic-Razgrad AD,Bulgaria
806,AMOXICILLINUM+ACIDUM CLAVULANICUM,228,,8066004,2286004,Amoxiplus® 1000 mg/200 mg pulbere pentru soluție injectabilă/perfuzabilă,J01CR02,Full,pentru tratamentul episodic,,"Antibiotice SA  SC, România(PROD: Antibiotice SA SC, România; )",Antibiotice SA,România
817,CEFUROXIMUM,225,,8174006,2254006,Cefuroximă Atb® 750 mg,J01DC02,Full,pentru tratamentul episodic,,"Antibiotice SA  SC, România(PROD: Antibiotice SA SC, România; )",Antibiotice SA,România
817,CEFUROXIMUM,225,,8176006,2256006,"Cefuroximă Atb® 1,5 g",J01DC02,Full,pentru tratamentul episodic,,"Antibiotice SA  SC, România(PROD: Antibiotice SA SC, România; )",Antibiotice SA,România
52,COLISTINUM,,,521002,,Colistină Atb® 1000000 UI,J01XB01,Full,Pentru tratamentul mucoviscidozei,,"Antibiotice SA, România(PROD: Antibiotice SA, România; )",Antibiotice SA,România
805,AMOXICILLINUM,202,,8052025,2022025,Amoxicilină Atb® 250 mg,J01CA04,Full,pentru tratamentul episodic,,"Antibiotice SA, SC",Antibiotice SA,România
