Grupa maladiilor pentru compensare,Cod DCI,Denumirea Comuna Internationala (DCI),Doza în SI MC,Cod DC,Denumirea comercială (DC),Doza,Forma farmaceutică,Divizarea,Ţara,Firma producătoare,Număr de înregistrare,Data înregistrării,Cod ATC,Cod medicament (Catalogul național de prețuri),is_child_rate,coverage_type,Cod DCI_sec,Cod DC_sec
Pentru tratamentul maladiilor cardiovasculare,039,LOSARTANUM,100,0392003,Sentor®,100 mg,comp. film.,N10x3,Ungaria,"Gedeon Richter PLC (prod.: Uzina farmaceutică Polfa din Grodzisk SAD, Polonia) ",25709,2019-08-01 00:00:00,C09CA01,1200340095,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,039,LOSARTANUM,100,0392005,Losartan-BP,100 mg,comprimate filmate,N10x3,Republica Moldova,"Balkan Pharmaceuticals  SRL, Republica Moldova(PROD: Balkan Pharmaceuticals SRL, Republica Moldova; )",25647,2019-07-04 00:00:00,C09CA01,9190700046,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,039,LOSARTANUM,100,0392006,EKLIPS,100 mg,comprimate filmate,N14x2,Turcia,"Sanovel İlaç San. Ve Tic. A.Ş., Turcia(PROD: Sanovel İlaç San. Ve Tic. A.Ş., India; )",28596,2022-11-01 00:00:00,C09CA01,9221102340,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,040,LOSARTANUM+HYDROCHLORTHIAZIDUM,1-100,0401002,Co-Sentor®,100 mg/25 mg,comprimate filmate,N10x3,Ungaria,"Gedeon Richter PLC, Ungaria(PROD: Gedeon Richter PLC, Ungaria; ,Gedeon Richter Polska Sp z.o.o, Polonia; )",25712,2019-08-01 00:00:00,C09DA01,1207400071,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,040,LOSARTANUM+HYDROCHLORTHIAZIDUM,1-100,0401003,Lorista® HD,100 mg+25 mg,comprimate filmate,N14x2,Slovenia,"KRKA d.d., Novo mesto, Slovenia(PROD: KRKA d.d., Novo mesto, Slovenia; ,TAD Pharma GmbH, Germania; )",28712,28.11.2022,C09DA01,1207400129,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,040,LOSARTANUM+HYDROCHLORTHIAZIDUM,1-50,0402002,Co-Sentor®,"50mg/12,5 mg",comprimate filmate,N10x3,Ungaria,"Gedeon Richter PLC, Ungaria(PROD: Gedeon Richter PLC, Ungaria; ,Gedeon Richter Polska Sp z.o.o, Polonia; )",25711,2019-08-01 00:00:00,C09DA01,1207400060,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,040,LOSARTANUM+HYDROCHLORTHIAZIDUM,1-50,0402003,Lorista® H,"50mg+12,5 mg",comprimate filmate,N14x2,Slovenia,"KRKA d.d., Novo mesto, Slovenia(PROD: KRKA d.d., Novo mesto, Slovenia; )",28711,28.11.2022,C09DA01,1207400107,False,Partial,,
Pentru tratamentul demenței(bolii Alzheimer),059,MEMANTINUM,10,0591002,Memantine-Richter ,10 mg,comp. film.,N15x2,Ungaria,"Gedeon Richter PLC, Ungaria(PROD: Gedeon Richter PLC, Ungaria; ,Gedeon Richter Polska Sp z.o.o, Polonia; )",28917,27.02.2023,N06DX01,1309090123,False,Partial,,
Pentru tratamentul demenței(bolii Alzheimer),059,MEMANTINUM,10,0591002,Memantine-Richter ,10 mg,comp. film.,N15x4,Ungaria,"Gedeon Richter PLC, Ungaria(PROD: Gedeon Richter PLC, Ungaria; ,Gedeon Richter Polska Sp z.o.o, Polonia; )",28917,27.02.2023,N06DX01,1309090112,False,Partial,,
Pentru tratamentul demenței(bolii Alzheimer),059,MEMANTINUM,10,0591004,Tingreks® ,10 mg,comp. film.,N10x3,Letonia,"Grindeks SA, Letonia(PROD: Grindeks SA, Letonia; )",28660,01.11.2022,N06DX01,1309090134,False,Partial,,
Pentru tratamentul demenței(bolii Alzheimer),059,MEMANTINUM,10,0591004,Tingreks® ,10 mg,comp. film.,N10x6,Letonia,"Grindeks SA, Letonia(PROD: Grindeks SA, Letonia; )",28660,01.11.2022,N06DX01,1309090156,False,Partial,,
Pentru tratamentul demenței(bolii Alzheimer),059,MEMANTINUM,10,0591005,Denigma®,10 mg,comp. film.,N14x10,India,"Kusum Healthcare Pvt.Ltd, India(PROD: Kusum Healthcare Pvt.Ltd, India; )",26661,18.01.2021,N06DX01,1309090086,False,Partial,,
Pentru tratamentul demenței(bolii Alzheimer),059,MEMANTINUM,10,0591006,Mantomed,10 mg,comp. film.,N14x4,Cipru,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd, Cipru; )",27873,27.05.2022,N06DX01,9220501865,False,Partial,,
Pentru tratamentul maladiilor aparatului digestiv,027,MESALAZINUM,250,0273003,Misal,250 mg,supoz.,N5x2,India,"Kusum Healthcare Pvt.Ltd, India(PROD: Kusum Healthcare Pvt.Ltd, India; )",26866,01.06.2021,A07EC02,9210601039,False,Partial,,
Pentru tratamentul maladiilor aparatului digestiv,027,MESALAZINUM,1000,0275001,Mesalazol,1000 mg,supoz.,N7x2,Republica Moldova,"Farmaprim SRL, Republica Moldova(PROD: Farmaprim SRL, Republica Moldova; )",25609,21.06.2019,A07EC02,1300250133,False,Partial,,
Pentru tratamentul maladiilor aparatului digestiv,027,MESALAZINUM,1000,0275002,Misal,1000 mg,supoz.,N5x2,India,"Kusum Healthcare Pvt.Ltd, India(PROD: Kusum Healthcare Pvt.Ltd, India; )",26867,01.06.2021,A07EC02,9210601040,False,Partial,,
Pentru tratamentul maladiilor aparatului digestiv,027,MESALAZINUM,500,0276001,Mecolzine,500 mg,comp. gastrorez.,N10x10,Spania,"FAES FARMA S.A., Spania(PROD: FAES FARMA S.A., Spania; )",26554,19.11.2020,A07EC02,9201100764,False,Partial,,
Pentru tratamentul maladiilor aparatului digestiv,027,MESALAZINUM,500,0276002,Salmimet,500 mg,comp. gastrorez.,N100,Turcia,"Bilim Ilac Sanayi Ve Ticaret A.Ș., Turcia(PROD: Bilim Ilac Sanayi Ve Ticaret A.Ș., Turcia; )",26720,2021-02-05 00:00:00,A07EC02,9230202506,False,Partial,,
Pentru tratamentul maladiilor aparatului digestiv,027,MESALAZINUM,2-500,0274002,Mesalazol,500 mg,supoz.,N7x2,Republica Moldova,"Farmaprim SRL, Republica Moldova(PROD: Farmaprim SRL, Republica Moldova; )",25608,21.06.2019,A07EC02,1300250074,False,Partial,,
Pentru tratamentul maladiilor aparatului digestiv,027,MESALAZINUM,2-500,0274003,Mecolzine,500 mg,supoz.,N10x10,Spania,"FAES FARMA S.A., Spania(PROD: Laboratorios Vitoria S.A, Portugalia; )",27261,2021-11-01 00:00:00,A07EC02,9211101402,False,Partial,,
Pentru tratamentul diabetului zaharat,701,METFORMINUM,500,7011001,Siofor® XR 500,500 mg,comp. elib. prel.,N15x4,Germania,"Berlin-Chemie AG (Menarini Group), Germania(PROD: Berlin-Chemie AG (Menarini Group), Germania; )",26585,19.11.2020,A10BA02,9201100773,False,Partial,,
Pentru tratamentul diabetului zaharat,701,METFORMINUM,1000,7013001,Siofor® XR 1000,1000 mg,comp. elib. prel.,N15x4,Germania,"Berlin-Chemie AG (Menarini Group), Germania(PROD: Berlin-Chemie AG (Menarini Group), Germania; )",26587,19.11.2020,A10BA02,9201100776,False,Partial,,
Pentru tratamentul diabetului zaharat,703,METFORMINUM,500,7031005,Siofor® 500,500 mg,comp. film.,N10x6,Germania,Berlin-Chemie AG,27564,28.02.2022,A10BA02,1300290012,False,Partial,,
Pentru tratamentul diabetului zaharat,703,METFORMINUM,500,7031007,Glucophage®,500 mg,comp. film.,N20x3,Franţa,"Merck Sante s.a.s. (prod.: Merck Sante s.a.s., Franţa; Merck SL, Spania) ",25962,05.12.2019,A10BA02,1300290414,False,Partial,,
Pentru tratamentul diabetului zaharat,703,METFORMINUM,500,7031007,Glucophage®,500 mg,comp. film.,N15x4,Franţa,"Merck Sante s.a.s. (prod.: Merck Sante s.a.s., Franţa; Merck SL, Spania) ",25962,05.12.2019,A10BA02,1300290609.0000002,False,Partial,,
Pentru tratamentul diabetului zaharat,703,METFORMINUM,500,7031014,Metformin-BP,500 mg,comp. film.,N10x6,Republica Moldova,"Balkan Pharmaceuticals  SRL, Republica Moldova(PROD: Balkan Pharmaceuticals SRL, Republica Moldova; )",26145,30.04.2020,A10BA02,9200500420,False,Partial,,
Pentru tratamentul diabetului zaharat,703,METFORMINUM,500,7031015,Brotmin,500 mg,comp. film.,N60,Cipru,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory AZ), Cipru; )",28575,44866,A10BA02,9221102355,False,Partial,,
Pentru tratamentul diabetului zaharat,703,METFORMINUM,500,7031016,Metafora,500 mg,comp. film.,N10x6,Ucraina,"Uzina de vitamine din Kiev SA, Ucraina(PROD: Uzina de vitamine din Kiev SA, Ucraina; )",29317,02.10.2023,A10BA02,9231002926,False,Partial,,
Pentru tratamentul diabetului zaharat,703,METFORMINUM,850,7032006,Siofor® 850,850 mg,comp. film.,N15x4,Germania,Berlin-Chemie AG,27566,28.02.2022,A10BA02,1300290023,False,Partial,,
Pentru tratamentul diabetului zaharat,703,METFORMINUM,850,7032013,Glifor®,850 mg,comp. film.,N10x6,Turcia,"Bilim Ilac Sanayi Ve Ticaret A.Ș. (prod.: Bilim  Ilac Sanayi Ve Ticaret A.Ș, Turcia) ",28017,04.08.2022,A10BA02,1309260034,False,Partial,,
Pentru tratamentul diabetului zaharat,703,METFORMINUM,850,7032015,Metformin-BP,850 mg,comp. film.,N10x6,Republica Moldova,"Balkan Pharmaceuticals  SRL, Republica Moldova(PROD: Balkan Pharmaceuticals SRL, Republica Moldova; )",26144,30.04.2020,A10BA02,9200500418,False,Partial,,
Pentru tratamentul diabetului zaharat,703,METFORMINUM,850,7032016,Matofin,850 mg,comp. film.,N10x10,Turcia,"Sanovel İlaç San. Ve Tic. A.Ş., Turcia(PROD: Sanovel İlaç San. Ve Tic. A.Ş., Turcia; )",28183,44812,A10BA02,9220902254,False,Partial,,
Pentru tratamentul diabetului zaharat,703,METFORMINUM,850,7032017,Brotmin,850 mg,comp. film.,N60,Cipru,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory AZ), Cipru; )",28574,01.11.2022,A10BA02,9221102319,False,Partial,,
Pentru tratamentul diabetului zaharat,703,METFORMINUM,850,7032018,Metafora,850 mg,comp. film.,N10x6,Ucraina,"Uzina de vitamine din Kiev SA, Ucraina(PROD: Uzina de vitamine din Kiev SA, Ucraina; )",29316,02.10.2023,A10BA02,9231002925,False,Partial,,
Pentru tratamentul diabetului zaharat,703,METFORMINUM,1000,7033001,Metfogamma® 1000,1000 mg,comp. film.,N15x8,Germania,"Worwag Pharma GmbH&Co.KG (prod.: Dragenopharm Apotheker Puschl GmbH, Germania) ",26938,05.07.2021,A10BA02,1300290115.0000002,False,Partial,,
Pentru tratamentul diabetului zaharat,703,METFORMINUM,1000,7033002,Siofor®1000,1000 mg,comp. film.,N15x4,Italia,"Laboratori Guidotti SpA (Menarini Group) (prod.: Berlin-Chemie AG (Menarini Group), Germania; Dragenopharm Apotheker Puschl GmbH&Co.KG, Germania; Menarini-Von Heyden GmbH, Germania) ",25050,29.10.2018,A10BA02,1300290296,False,Partial,,
Pentru tratamentul diabetului zaharat,703,METFORMINUM,1000,7033006,Glifor®,1000 mg,comp. film.,N10x10,Turcia,"Bilim Ilac Sanayi Ve Ticaret A.Ș. (prod.: Bilim  Ilac Sanayi Ve Ticaret A.Ș, Turcia) ",28018,04.08.2022,A10BA02,1309260012,False,Partial,,
Pentru tratamentul diabetului zaharat,703,METFORMINUM,1000,7033008,Metformin-BP,1000 mg,comp. film.,N10x6,Republica Moldova,"Balkan Pharmaceuticals  SRL, Republica Moldova(PROD: Balkan Pharmaceuticals SRL, Republica Moldova; )",26143,30.04.2020,A10BA02,9200500416,False,Partial,,
Pentru tratamentul diabetului zaharat,703,METFORMINUM,1000,7033010,Brotmin,1000 mg,comp. film.,N60,Cipru,"Medochemie Ltd, Cipru(PROD: Medochemie Ltd (Factory AZ), Cipru; )",28576,01.11.2022,A10BA02,9221102359,False,Partial,,
Pentru tratamentul diabetului zaharat,703,METFORMINUM,1000,7033011,Matofin,1000 mg,comp. film.,N10x10,Turcia,"Sanovel İlaç San. Ve Tic. A.Ş., Turcia(PROD: Sanovel İlaç San. Ve Tic. A.Ş., Turcia; )",29152,45101,A10BA02,9230602781,False,Partial,,
Pentru tratamentul diabetului zaharat,703,METFORMINUM,1000,7033012,Metafora,1000 mg,comp. film.,N10x6,Ucraina,"Uzina de vitamine din Kiev SA, Ucraina(PROD: Uzina de vitamine din Kiev SA, Ucraina; )",29315,02.10.2023,A10BA02,9231002922,False,Partial,,
Pentru tratamentul diabetului zaharat,703,METFORMINUM,1000,7033012,Zenofor,1000 mg,comp. film.,N20x3,Republica Cehă,"Zentiva k.s., Republica Cehă(PROD: S.C. Zentiva S.A., România; )",29405,31.10.2023,A10BA02,9231103019,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,006,METOPROLOLUM,25,0061001,Egilok®,25 mg,comp.,N60,Ungaria,Egis Pharmaceuticals PLC,28111,25.08.2022,C07AB02,1300400352,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,006,METOPROLOLUM,25,0061008,Metoprolol,25 mg,comp.,N10x2,Republica Moldova,"Eurofarmaco SA, ÎCS",26731,2021-02-05 00:00:00,C07AB02,9200400382,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,006,METOPROLOLUM,25,0061008,Metoprolol,25 mg,comp.,N10x3,Republica Moldova,"Eurofarmaco SA, ÎCS",26731,2021-02-05 00:00:00,C07AB02,9191100228,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,006,METOPROLOLUM,50,0062003,Metoprolol LPH® 50 mg,50 mg,comp.,N10x3,România,Labormed Pharma SA,28633,01.11.2022,C07AB02,1300400569,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,006,METOPROLOLUM,50,0062006,Egilok®,50 mg,comp.,N60,Ungaria,Egis Pharmaceuticals PLC,28112,25.08.2022,C07AB02,1300400363,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,006,METOPROLOLUM,50,0062010,Metoprolol,50 mg,comp.,N10x2,Republica Moldova,"Eurofarmaco SA, ÎCS",26732,2021-02-05 00:00:00,C07AB02,9200400383,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,006,METOPROLOLUM,50,0062010,Metoprolol,50 mg,comp.,N10x3,Republica Moldova,"Eurofarmaco SA, ÎCS",26732,2021-02-05 00:00:00,C07AB02,9191100229,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,006,METOPROLOLUM,1-100,0063014,Egilok®,100 mg,comp.,N60,Ungaria,Egis Pharmaceuticals PLC,28113,25.08.2022,C07AB02,100450376,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,006,METOPROLOLUM,1-100,0063017,Metoprolol LPH® 100 mg,100 mg,comp.,N10x3,România,Labormed Pharma SA,28632,01.11.2022,C07AB02,1300400581,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,055,NEBIVOLOLUM,5,0551001,Nebilet®,5 mg,comp.,N14x2,Luxemburg,"Menarini International Operations Luxembourg SA (prod.: Berlin-Chemie AG, Germania; Berlin-Chemie AG (Menarini Group), Germania) ",26223,2020-05-13 00:00:00,C07AB12,1405090036,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,055,NEBIVOLOLUM,5,0551004,Nebivolol-BP,5 mg,comp.,N10x3,Republica Moldova,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",29605,03.05.2024,C07AB12,9240503229,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,055,NEBIVOLOLUM,5,0551003,Nebivolol STADA,5 mg,comp.,N7x4,Spania,"Laboratorio STADA, S.L., Spania(PROD: Stada Arzneimittel AG, Germania; )",27591,04.03.2022,C07AB12,9220301613,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,056,PERINDOPRILUM,10,0561001,Prestarium® 10 mg,10 mg,comp. film.,N30,Franţa,"Les Laboratoires Servier (prod.: Anpharm Przedsiebiorstwo Farmaceutyczne S.A., Polonia; Les Laboratoires Servier Industrie, Franţa; Servier (Ireland) Industries Ltd, Irlanda) ",27813,06.05.2022,C09AA04,1600400052,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,056,PERINDOPRILUM,5,0562001,Prestarium® 5 mg,5 mg,comp. film.,N30,Franţa,"Les Laboratoires Servier (prod.: Anpharm Przedsiebiorstwo Farmaceutyczne S.A., Polonia; Les Laboratoires Servier Industrie, Franţa; Servier (Ireland) Industries Ltd, Irlanda) ",27812,06.05.2022,C09AA04,1600400074,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,056,PERINDOPRILUM,4,0563001,Prenessa®,4 mg,comprimate,N10x3,Slovenia,"KRKA d.d., Novo mesto",28082,25.08.2022,C09AA04,1600400292,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,056,PERINDOPRILUM,8,0564001,Prenessa®,8 mg,comprimate,N10x3,Slovenia,"KRKA d.d., Novo mesto",28083,25.08.2022,C09AA04,1600400133,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,069,PERINDOPRILUM ARGININUM+INDAPAMIDUM,5,0691001,"Noliprel® Arg forte 5 mg/1,25 mg","5 mg/1,25 mg",comp. film.,N30,Franţa,"Les Laboratoires Servier, Franţa(PROD: Anpharm Przedsiebiorstwo Farmaceutyczne S.A., Polonia; ,Les Laboratoires Servier Industrie (LSI), Franţa; ,Servier (Ireland) Industries Ltd, Irlanda; )",28724,2022-11-28 00:00:00,C09BA04,1609500025,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,069,PERINDOPRILUM ARGININUM+INDAPAMIDUM,5,0691002,Co-Prenessa® Neo,"5 mg/1,25 mg",comprimate,N10x3,Slovenia,"KRKA d.d., Novo mesto, Slovenia(PROD: KRKA d.d., Novo mesto, Slovenia; ,TAD Pharma GmbH, Germania; )",28952,31.03.2023,C09BA04,9230402638,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,069,PERINDOPRILUM ARGININUM+INDAPAMIDUM,10,0692001,Co-Prenessa® Neo,"10 mg/2,5 mg",comprimate,N10x3,Slovenia,"KRKA d.d., Novo mesto, Slovenia(PROD: KRKA d.d., Novo mesto, Slovenia; ,TAD Pharma GmbH, Germania; )",28951,31.03.2023,C09BA04,9230402637,False,Partial,,
Pentru tratamentul disfuncțiilor de reproducție la femei,082,PROGESTERONUM,100,0821001,Utrogestan® 100 mg,100 mg,capsule moi,N15x2,Franţa,"Laboratoires Besins International, Franţa(PROD: Besins Manufacturing Belgium, Belgia; ,Cyndea Pharma SL, Spania; )",25274,07.02.2019,G03DA04,1600710018,False,Partial,,
Pentru tratamentul disfuncțiilor de reproducție la femei,082,PROGESTERONUM,200,0822001,Utrogestan® 200 mg,200 mg,capsule moi,N7x2,Franţa,"Laboratoires Besins International, Franţa(PROD: Besins Manufacturing Belgium, Belgia; ,Cyndea Pharma SL, Spania; )",26208,13.05.2020,G03DA04,1600720020,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,016,RAMIPRILUM,2.5,0161003,Ampril®,"2,5 mg",comp.,N10x3,Slovenia,"KRKA d.d., Novo mesto",27697,2022-03-31 00:00:00,C09AA05,1800030196,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,016,RAMIPRILUM,5,0162001,Hartil®,5 mg,comp.,N7x4,Ungaria,"Egis Pharmaceuticals PLC (prod.: Actavis Ltd., Malta; Egis Pharmaceuticals PLC, Ungaria) ",26633,2020-12-14 00:00:00,C09AA05,1800030831,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,016,RAMIPRILUM,5,0162003,Ampril®,5 mg,comp.,N10x3,Slovenia,"KRKA d.d., Novo mesto",27698,31.03.2022,C09AA05,1800030233.0000002,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,016,RAMIPRILUM,5,0162004,Ramipril-BP,5 mg,comp.,N10x3,Republica Moldova,"Balkan Pharmaceuticals SRL, SC",26652,2020-12-14 00:00:00,C09AA05,9210601082,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,016,RAMIPRILUM,5,0162009,Ramilong,5 mg,comp.,N10x3,Republica Belarus,Lekfarm SRL,25576,2019-06-21 00:00:00,C09AA05,1800030820,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,016,RAMIPRILUM,10,0163001,Hartil®,10 mg,comp.,N7x4,Ungaria,"Egis Pharmaceuticals PLC (prod.: Actavis Ltd, Islanda; Actavis Ltd., Malta; Egis Pharmaceuticals PLC, Ungaria) ",26634,2020-12-14 00:00:00,C09AA05,1800030853,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,016,RAMIPRILUM,10,0163003,Ampril®,10 mg,comp.,N10x3,Slovenia,"KRKA d.d., Novo mesto",27699,31.03.2022,C09AA05,1800030288,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,016,RAMIPRILUM,10,0163004,Ramipril-BP,10 mg,comp.,N10x3,Republica Moldova,"Balkan Pharmaceuticals SRL, SC",26653,14.12.2020,C09AA05,9990700569,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,016,RAMIPRILUM,10,0163004,Ramipril-BP,10 mg,comp.,N20x3,Republica Moldova,"Balkan Pharmaceuticals SRL, SC",26653,14.12.2020,C09AA05,9210601083,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,016,RAMIPRILUM,10,0163009,Ramilong,10 mg,comp.,N10x3,Republica Belarus,Lekpharm SRL,25573,2019-06-21 00:00:00,C09AA05,1800030819,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,072,RIVAROXABANUM,10,0721001,Xarelto®,10 mg,comp. film.,N10,Germania,"Bayer AG, Germania(PROD: Bayer AG, Germania; ,Bayer Bitterfeld GmbH, Germania; ,Bayer HealthCare Manufacturing S.R.L., Italia; )",25629,2019-07-04 00:00:00,B01AF01,1809090151,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,072,RIVAROXABANUM,10,0721001,Xarelto®,10 mg,comp. film.,N30,Germania,"Bayer AG, Germania(PROD: Bayer AG, Germania; ,Bayer Bitterfeld GmbH, Germania; ,Bayer HealthCare Manufacturing S.R.L., Italia; )",25629,04.07.2019,B01AF01,9190700059,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,072,RIVAROXABANUM,10,0721002,Rivarox,10 mg,comp. film.,N 10,Georgia,"GM Pharmaceuticals Ltd., Georgia(PROD: Combino Pharm (Malta) Ltd., Malta; )",27539,28.02.2022,B01AF01,9220301588,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,072,RIVAROXABANUM,10,0721003,Rivaroxaban-BP,10 mg,comp. film.,N10x3,Republica Moldova,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",27575,28.02.2022,B01AF01,9220301577,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,072,RIVAROXABANUM,10,0721004,Rovaltro 10 mg,10 mg,comp. film.,N10x3,Siria,"Hama Pharma, Siria(PROD: Hama Pharma, Siria; )",26704,2021-02-05 00:00:00,B01AF01,9210200888,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,072,RIVAROXABANUM,10,0721005,Voxaban,10 mg,comp. film.,N10x3,Turcia,"Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia(PROD: Nobel Almaty Pharmaceutical Factory JSC, Kazahstan; ,Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia; )",27828,27.05.2022,B01AF01,9220501840,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,072,RIVAROXABANUM,10,0721008,Rivaroxaban-LF,10 mg,comp. film.,N10x3,Republica Belarus,"Lekpharm SRL, Republica Belarus(PROD: Lekpharm SRL, Republica Belarus; )",29210,19.07.2023,B01AF01,9230702823,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,072,RIVAROXABANUM,10,0721009,Xanirva,10 mg,capsule,N30,Cehia,"Zentiva k.s., Cehia(PROD: Pharmadox Healthcare Ltd., Malta; ,Zentiva SA, România; )",28809,29.12.2022,B01AF01,9230102448,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,072,RIVAROXABANUM,10,0721010,Kardatuxan®,10 mg,comprimate filmate,N14x2,Ungaria,"Gedeon Richter PLC, Ungaria(PROD: Gedeon Richter Polska Sp z.o.o, Polonia; )",29431,30.11.2023,B01AF01,9231203061,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,072,RIVAROXABANUM,10,0721007,Faroxaban,10 mg,comprimate filmate,N7x4,India,"Omnicals Pharma Private Limited, India(PROD: Vivimed Labs Limited, India; )",28702,28.11.2022,B01AF01,9221102371,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,072,RIVAROXABANUM,10,0721011,POLVAROX,10 mg,comprimate filmate,N14,Polonia,"Pharmaceutical Works Polpharma S.A., Polonia(PROD: Pharmaceutical Works Polpharma S.A., Polonia; )",29103,26.05.2023,B01AF01,9241203595,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,072,RIVAROXABANUM,15,0722001,Xarelto®,15 mg,comp. film.,N14x2,Germania,"Bayer AG, Germania(PROD: Bayer AG, Germania; ,Bayer Bitterfeld GmbH, Germania; ,Bayer HealthCare Manufacturing S.R.L., Italia; )",27819,06.05.2022,B01AF01,1809090128,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,072,RIVAROXABANUM,15,0722002,Rivarox,15 mg,comp. film.,N 14x2,Georgia,"GM Pharmaceuticals Ltd., Georgia(PROD: Combino Pharm (Malta) Ltd., Malta; )",27540,28.02.2022,B01AF01,9220301589,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,072,RIVAROXABANUM,15,0722003,Rivaroxaban-BP,15 mg,comp. film.,N10x3,Republica Moldova,"SC Balkan Pharmaceuticals SRL, Republica Moldova(PROD: SC Balkan Pharmaceuticals SRL, Republica Moldova; )",27576,28.02.2022,B01AF01,9220301574,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,072,RIVAROXABANUM,15,0722004,Rovaltro 15 mg,15 mg,comp. film.,N10x3,Siria,"Hama Pharma, Siria(PROD: Hama Pharma, Siria; )",26705,05.02.2021,B01AF01,9210200889,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,072,RIVAROXABANUM,15,0722005,Voxaban,15 mg,comp. film.,N10x3,Turcia,"Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia(PROD: Nobel Almaty Pharmaceutical Factory JSC, Kazahstan; ,Nobel Ilac Sanayii ve Ticaret A.Ş., Turcia; )",27829,27.05.2022,B01AF01,9220802004,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,072,RIVAROXABANUM,15,0722008,Rivaroxaban-LF,15 mg,comp. film.,N10x3,Republica Belarus,"Lekpharm SRL, Republica Belarus(PROD: Lekpharm SRL, Republica Belarus; )",29209,19.07.2023,B01AF01,9230702822,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,072,RIVAROXABANUM,15,0722009,Xanirva,15 mg,capsule,N98,Cehia,"Zentiva k.s., Cehia(PROD: Pharmadox Healthcare Ltd., Malta; ,Zentiva SA, România; )",28810,29.12.2022,B01AF01,9230102449,False,Partial,,
Pentru tratamentul maladiilor cardiovasculare,072,RIVAROXABANUM,15,0722010,Kardatuxan®,15 mg,comprimate filmate,N14x2,Ungaria,"Gedeon Richter PLC, Ungaria(PROD: Gedeon Richter Polska Sp z.o.o, Polonia; )",29432,30.11.2023,B01AF01,9231203067,False,Partial,,
