,name,source
3175,"BRYONIA D4, HYDRARGYRUM BICHLORATUM D8, SULFUR D4, KALIUM IODATUM D4, SILICEA D6, AURUM CHLORATUM D8, SOLIDAGO VIRGAUREA TINTURA MADRE, VISCUM ALBUM TINTURA MADRE, COLCHICUM AUTUMNALE D1, SOLANUM DULCAMARA D1, NATRUM SALICYLICUM D3",ES
3136,"BRYONIA D4, LACHESIS D12, ACONITUM NAPELLUS D4, EUPATORIUM PERFOLIATUM D3, PHOSPHORUS D5",ES
3177,"BRYONIA D4, SULFUR D4, IPECA D4, ACIDUM ARSENICOSUM D6, PULSATILLA D4, NUX VOMICA D3, CHINA RUBRA D 4, ROBINIA PSEUDOACACIA D3",ES
3141,"BRYONIA D6, ACIDUM SULFURICUM D6, ARNICA MONTANA D6, ARGENTUM METALLICUM D12, LEDUM PALUSTRE D6, CAUSTICUM HAHNEMANNI D12",ES
3085,"BRYONIA D6, BRYONIA 30, CITRULLUS COLOCYNTHIS D30, LYCOPODIUM CLAVATUM D30, STRYCHNOS NUX-VOMICA D30, STRYCHNOS NUX-VOMICA D10, CITRULLUS COLOCYNTHIS D10, CITRULLUS COLOCYNTHIS D200, LYCOPODIUM CLAVATUM D3, BRYONIA D2, BRYONIA D10, BRYONIA D15, BRYONIA D200, BRYONIA D1000, LYCOPODIUM CLAVATUM D10, LYCOPODIUM CLAVATUM D200, LYCOPODIUM CLAVATUM D1000, STRYCHNOS NUX-VOMICA D15, STRYCHNOS NUX-VOMICA D200, STRYCHNOS NUX-VOMICA D1000, CITRULLUS COLOCYNTHIS D3, STRYCHNOS NUX-VOMICA D2",ES
2972,"BRYONIA D6, EUPATORIUM PERFOLIATUM D6, ACONITUM NAPELLUS D6, BELLADONNA D6, CINCHONA PUBESCENS D6, ARNICA MONTANA D6, EUCALYPTUS GLOBULUS D6, GELSEMIUM SEMPERVIRENS D6, POLYGALA SENEGA D6, DROSERA D10",ES
3167,"BRYONIA D6, EUPATORIUM PERFOLIATUM D6, GELSEMIUM D6, CAMPHORA D6, EUCALYPTUS GLOBULUS D6, FERRUM PHOSPHORICUM D8, BAPTISIA D6, CAUSTICUM HAHNEMANNI D6, SABADILLA  D6, ACONITUM D6",ES
2928,"BRYONIA D6, PSYCHOTRIA IPECACUANHA D6, CORALLIUM RUBRUM D12, BELLADONNA D6, AMMONIUM CAUSTICUM D6, CHAMOMILLA D6, DACTYLOPIUS COCCUS D6, DROSERA D6, THYMUS VULGARIS D6, CUPRUM ACETICUM D12",ES
3041,"BRYONIA DIL. D3, DROSERA DIL. D6, PSYCHOTRIA IPECACUANHA DIL. D4, STIBIUM SULFURATUM AURANTIACUM DIL. D6, EUCALYPTUS DIL. D3",ES
3039,"BRYONIA TINTURA MADRE, CALENDULA OFFICINALIS TINTURA MADRE, PHYTOLACCA DECANDRA TINTURA MADRE, BENZOIN SIAM TINTURA MADRE",ES
260,BUDESONIDA,ES
204,"BUDESONIDA, FORMOTEROL FUMARATO",ES
1908,"BUDESONIDA, FORMOTEROL FUMARATO DIHIDRATO",ES
29,BUDESONIDUM,MD
27,BUDESONIDUM+FORMOTEROLUM,MD
3099,"BUFO RANA C4, BUFO RANA C5, BUFO RANA C6, BUFO RANA C7, BUFO RANA C9, BUFO RANA C12, BUFO RANA C15, BUFO RANA C30, BUFO RANA C100, BUFO RANA C200, BUFO RANA D8, BUFO RANA D12, BUFO RANA D30, BUFO RANA K200, BUFO RANA K1000, BUFO RANA K10000",ES
2184,BULEVIRTIDA ACETATO,ES
3032,BUMETANIDA,ES
184,BUPIVACAINA HIDROCLORURO,ES
129,"BUPIVACAINA HIDROCLORURO, EPINEFRINA",ES
365,"BUPIVACAINA HIDROCLORURO, EPINEFRINA BITARTRATO",ES
949,BUPRENORFINA,ES
2110,BUPRENORFINA HIDROCLORURO,ES
1898,"BUPRENORFINA HIDROCLORURO, NALOXONA HIDROCLORURO DIHIDRATO",ES
522,BUPROPION HIDROCLORURO,ES
1879,BUROSUMAB,ES
2834,BUSERELINA ACETATO,ES
1550,BUSULFANO,ES
203,BUTILESCOPOLAMINA BROMURO,ES
2070,CABAZITAXEL,ES
2927,CABAZITAXEL 2-PROPANOL SOLVATO,ES
857,CABERGOLINA,ES
160,CABERGOLINUM,MD
2116,CABOTEGRAVIR,ES
2114,CABOTEGRAVIR SODIO,ES
1587,CABOZANTINIB,ES
1588,"CABOZANTINIB, CABOZANTINIB",ES
2757,"CACAHUETE POLVO DESENGRASADO, SEMILLAS",ES
2756,"CACAHUETE POLVO DESENGRASADO, SEMILLAS, CACAHUETE POLVO DESENGRASADO, SEMILLAS",ES
2443,"CADMIUM METALLICUM C3, CADMIUM METALLICUM C4, CADMIUM METALLICUM C5, CADMIUM METALLICUM C6, CADMIUM METALLICUM C7, CADMIUM METALLICUM C9, CADMIUM METALLICUM C12, CADMIUM METALLICUM C15, CADMIUM METALLICUM C30, CADMIUM METALLICUM C100, CADMIUM METALLICUM C200, CADMIUM METALLICUM D6, CADMIUM METALLICUM D8, CADMIUM METALLICUM D12, CADMIUM METALLICUM D30, CADMIUM METALLICUM K200, CADMIUM METALLICUM K1000, CADMIUM METALLICUM K10000",ES
2444,"CADMIUM SULFURICUM C3, CADMIUM SULFURICUM C4, CADMIUM SULFURICUM C5, CADMIUM SULFURICUM C6, CADMIUM SULFURICUM C7, CADMIUM SULFURICUM C9, CADMIUM SULFURICUM C12, CADMIUM SULFURICUM C15, CADMIUM SULFURICUM C30, CADMIUM SULFURICUM C100, CADMIUM SULFURICUM C200, CADMIUM SULFURICUM D6, CADMIUM SULFURICUM D8, CADMIUM SULFURICUM D12, CADMIUM SULFURICUM D30, CADMIUM SULFURICUM K200, CADMIUM SULFURICUM K1000, CADMIUM SULFURICUM K10000",ES
3661,CAFEINA,ES
1411,"CAFEINA ANHIDRA, ACETILSALICILICO ACIDO",ES
502,"CAFEINA ANHIDRA, CODEINA FOSFATO HEMIHIDRATO, ACETILSALICILICO ACIDO",ES
3518,"CAFEINA ANHIDRA, PROPIFENAZONA",ES
1069,CAFEINA CITRATO,ES
1412,"CAFEINA, ACETILSALICILICO ACIDO",ES
3653,"CAFEINA, ACETILSALICILICO ACIDO, CLORFENAMINA MALEATO, ASCORBICO ACIDO",ES
6,"CAFEINA, ACETILSALICILICO ACIDO, TIAMINA HIDROCLORURO",ES
503,"CAFEINA, CODEINA FOSFATO HEMIHIDRATO, ACETILSALICILICO ACIDO",ES
1431,"CAFEINA, ERGOTAMINA TARTRATO",ES
2476,"CAJUPUTUM C3, CAJUPUTUM C4, CAJUPUTUM C5, CAJUPUTUM C6, CAJUPUTUM C7, CAJUPUTUM C9, CAJUPUTUM C12, CAJUPUTUM C15, CAJUPUTUM C30, CAJUPUTUM C100, CAJUPUTUM C200, CAJUPUTUM D4, CAJUPUTUM D6, CAJUPUTUM D8, CAJUPUTUM D12, CAJUPUTUM D30, CAJUPUTUM K200, CAJUPUTUM K1000, CAJUPUTUM K10000",ES
2228,"CALCAREA CARBONICA OSTREARUM C4, CALCAREA CARBONICA OSTREARUM C5, CALCAREA CARBONICA OSTREARUM C6, CALCAREA CARBONICA OSTREARUM C7, CALCAREA CARBONICA OSTREARUM C9, CALCAREA CARBONICA OSTREARUM C12, CALCAREA CARBONICA OSTREARUM C15, CALCAREA CARBONICA OSTREARUM C30, CALCAREA CARBONICA OSTREARUM C100, CALCAREA CARBONICA OSTREARUM C200, CALCAREA CARBONICA OSTREARUM D8, CALCAREA CARBONICA OSTREARUM D12, CALCAREA CARBONICA OSTREARUM D30, CALCAREA CARBONICA OSTREARUM K200, CALCAREA CARBONICA OSTREARUM K1000, CALCAREA CARBONICA OSTREARUM K10000",ES
3097,"CALCAREA CARBONICA OSTREARUM D2, CALCAREA IODATA D4, CALCAREA PHOSPHORICA D2, FERRUM PHOSPHORICUM D2, JUGLANS REGIA D4, MAGNESIUM PHOSPHORICUM D2, NATRUM PHOSPHORICUM D2, NATRIUM SULFURICUM D3, RUBIA TINCTORUM D3, SILICEA D3",ES
2561,"CALCAREA CARBONICA OSTREARUM D3, CALCAREA FLUORICA D3, CALCAREA PHOSPHORICA D3, SULFUR IODATUM C4",ES
2591,"CALCAREA PHOSPHORICA D6, CALCAREA PHOSPHORICA C3, CALCAREA PHOSPHORICA C4, CALCAREA PHOSPHORICA C5, CALCAREA PHOSPHORICA C6, CALCAREA PHOSPHORICA C7, CALCAREA PHOSPHORICA C9, CALCAREA PHOSPHORICA C15, CALCAREA PHOSPHORICA C30, CALCAREA PHOSPHORICA C100, CALCAREA PHOSPHORICA C200, CALCAREA PHOSPHORICA K1000, CALCAREA PHOSPHORICA K200, CALCAREA PHOSPHORICA K10000, CALCAREA PHOSPHORICA K50000, CALCAREA PHOSPHORICA K100000, CALCAREA PHOSPHORICA K500000, CALCAREA PHOSPHORICA LM2, CALCAREA PHOSPHORICA LM3, CALCAREA PHOSPHORICA LM5, CALCAREA PHOSPHORICA LM6, CALCAREA PHOSPHORICA LM9, CALCAREA PHOSPHORICA LM12, CALCAREA PHOSPHORICA LM15, CALCAREA PHOSPHORICA LM18, CALCAREA PHOSPHORICA LM30",ES
2582,"CALCAREA PHOSPHORICA D6, CALCAREA PHOSPHORICA C30, CALCAREA PHOSPHORICA C200, CALCAREA PHOSPHORICA D8, CALCAREA PHOSPHORICA LM3, CALCAREA PHOSPHORICA LM5, CALCAREA PHOSPHORICA LM6, CALCAREA PHOSPHORICA LM9, CALCAREA PHOSPHORICA LM12, CALCAREA PHOSPHORICA LM15, CALCAREA PHOSPHORICA LM18, CALCAREA PHOSPHORICA LM30, CALCAREA PHOSPHORICA C170, CALCAREA PHOSPHORICA K700000, CALCAREA PHOSPHORICA LM1, CALCAREA PHOSPHORICA LM4, CALCAREA PHOSPHORICA LM7, CALCAREA PHOSPHORICA LM11, CALCAREA PHOSPHORICA LM21, CALCAREA PHOSPHORICA LM24, CALCAREA PHOSPHORICA LM27, CALCAREA PHOSPHORICA LM33, CALCAREA PHOSPHORICA LM36, CALCAREA PHOSPHORICA LM39, CALCAREA PHOSPHORICA LM42, CALCAREA PHOSPHORICA LM45, CALCAREA PHOSPHORICA LM48, CALCAREA PHOSPHORICA LM51, CALCAREA PHOSPHORICA LM54, CALCAREA PHOSPHORICA LM60",ES
2486,"CALCAREA PHOSPHORICA D6, CALCAREA PHOSPHORICA C4, CALCAREA PHOSPHORICA C5, CALCAREA PHOSPHORICA C6, CALCAREA PHOSPHORICA C7, CALCAREA PHOSPHORICA C9, CALCAREA PHOSPHORICA C12, CALCAREA PHOSPHORICA C15, CALCAREA PHOSPHORICA C30, CALCAREA PHOSPHORICA C100, CALCAREA PHOSPHORICA C200, CALCAREA PHOSPHORICA D8, CALCAREA PHOSPHORICA D12, CALCAREA PHOSPHORICA D30, CALCAREA PHOSPHORICA K1000, CALCAREA PHOSPHORICA K200, CALCAREA PHOSPHORICA K10000",ES
2534,"CALCAREA PHOSPHORICA D6, CALCAREA PHOSPHORICA D4",ES
2481,"CALCAREA SILICATA C3, CALCAREA SILICATA C4, CALCAREA SILICATA C5, CALCAREA SILICATA C6, CALCAREA SILICATA C7, CALCAREA SILICATA C9, CALCAREA SILICATA C12, CALCAREA SILICATA C15, CALCAREA SILICATA C30, CALCAREA SILICATA C100, CALCAREA SILICATA C200, CALCAREA SILICATA D4, CALCAREA SILICATA D6, CALCAREA SILICATA D8, CALCAREA SILICATA D12, CALCAREA SILICATA D30, CALCAREA SILICATA K200, CALCAREA SILICATA K1000, CALCAREA SILICATA K10000",ES
1322,CALCIFEDIOL,ES
1618,CALCIFEDIOL MONOHIDRATO,ES
596,CALCIO CARBONATO,ES
3370,"CALCIO CARBONATO, ALGINATO SODIO, SODIO, HIDROGENOCARBONATO DE",ES
677,"CALCIO CARBONATO, COLECALCIFEROL",ES
3588,"CALCIO CARBONATO, MAGNESIO CARBONATO",ES
478,CALCIO CLORURO,ES
1964,CALCIO CLORURO DIHIDRATO,ES
2981,"CALCIO FLUORURO, HEPAR SULFURIS D5, CALCAREA CARBONICA OSTREARUM D3, ATROPA BELLADONNA D3, THUJA OCCIDENTALIS D2, HYDRASTIS CANADENSIS D3, MANGANUM SULFURICUM D3, SCHOENOCAULON OFFICINALE D3, KALIUM SULFURICUM D4, KALIUM BICHROMICUM D5, SILICA D5, CINNABARIS D8",ES
1453,CALCIO FOSFATO,ES
1600,"CALCIO, COLECALCIFEROL",ES
1200,CALCIPOTRIOL,ES
1371,"CALCIPOTRIOL, BETAMETASONA DIPROPIONATO",ES
1350,CALCITONINA SALMON SINTETICA,ES
803,CALCITRIOL,ES
3150,"CALCIUM CARBONICUM HAHNEMANNI D8, ATROPA BELLADONNA D6, MATRICARIA RECUTITA D4, PLANTAGO MAJOR D4, PULSATILLA PRATENSIS D6, SOLANUM DULCAMARA D6",ES
2764,"CALCIUM CARBONICUM HAHNEMANNI D8, MATRICARIA RECUTITA D4, SOLANUM DULCAMARA D6, CARBO VEGETABILIS D12",ES
2381,"CALCIUM FLUORATUM C4, CALCIUM FLUORATUM C5, CALCIUM FLUORATUM C7, CALCIUM FLUORATUM C9, CALCIUM FLUORATUM C15, CALCIUM FLUORATUM C30, CALCIUM FLUORATUM C200, CALCIUM FLUORATUM D6, CALCIUM FLUORATUM D12, CALCIUM FLUORATUM K200, CALCIUM FLUORATUM K1000, CALCIUM FLUORATUM K10000, CALCIUM FLUORICUM K50000, CALCIUM FLUORICUM K100000",ES
2581,"CALCIUM FLUORATUM C7, CALCIUM FLUORATUM C9, CALCIUM FLUORATUM C30, CALCIUM FLUORATUM C200, CALCIUM FLUORATUM D6, CALCIUM FLUORICUM C170, CALCIUM FLUORICUM K700000, CALCIUM FLUORICUM LM1, CALCIUM FLUORICUM LM3, CALCIUM FLUORICUM LM6, CALCIUM FLUORICUM LM9, CALCIUM FLUORICUM LM12, CALCIUM FLUORICUM LM15, CALCIUM FLUORICUM LM30",ES
2487,"CALCIUM FLUORATUM D30, CALCIUM FLUORATUM D8, CALCIUM FLUORATUM C4, CALCIUM FLUORATUM C5, CALCIUM FLUORATUM C6, CALCIUM FLUORATUM C7, CALCIUM FLUORATUM C9, CALCIUM FLUORATUM C12, CALCIUM FLUORATUM C15, CALCIUM FLUORATUM C30, CALCIUM FLUORATUM C100, CALCIUM FLUORATUM C200, CALCIUM FLUORATUM D6, CALCIUM FLUORATUM D12, CALCIUM FLUORATUM K200, CALCIUM FLUORATUM K1000, CALCIUM FLUORATUM K10000",ES
2446,CALCIUM FLUORATUM D6,ES
2991,CALCIUM FLUORATUM TRIT D6,ES
2477,"CALCIUM IODATUM D4, CALCIUM IODATUM D6, CALCIUM IODATUM C3, CALCIUM IODATUM C4, CALCIUM IODATUM C5, CALCIUM IODATUM C6, CALCIUM IODATUM C7, CALCIUM IODATUM C9, CALCIUM IODATUM C12, CALCIUM IODATUM C15, CALCIUM IODATUM C30, CALCIUM IODATUM C100, CALCIUM IODATUM C200, CALCIUM IODATUM D8, CALCIUM IODATUM D12, CALCIUM IODATUM D30, CALCIUM IODATUM K200, CALCIUM IODATUM K1000, CALCIUM IODATUM K10000",ES
2992,CALCIUM PHOSPHORICUM TRIT. D6,ES
2535,CALCIUM SULFURICUM D6,ES
2482,"CALCIUM SULFURICUM D6, CALCIUM SULFURICUM C3, CALCIUM SULFURICUM C4, CALCIUM SULFURICUM C5, CALCIUM SULFURICUM C6, CALCIUM SULFURICUM C7, CALCIUM SULFURICUM C9, CALCIUM SULFURICUM C12, CALCIUM SULFURICUM C15, CALCIUM SULFURICUM C30, CALCIUM SULFURICUM C100, CALCIUM SULFURICUM C200, CALCIUM SULFURICUM D4, CALCIUM SULFURICUM D8, CALCIUM SULFURICUM D12, CALCIUM SULFURICUM D30, CALCIUM SULFURICUM K200, CALCIUM SULFURICUM K1000, CALCIUM SULFURICUM K10000",ES
2583,"CALCIUM SULFURICUM D6, CALCIUM SULFURICUM C30, CALCIUM SULFURICUM C170, CALCIUM SULFURICUM K700000, CALCIUM SULFURICUM LM3, CALCIUM SULFURICUM LM6, CALCIUM SULFURICUM LM9, CALCIUM SULFURICUM LM12, CALCIUM SULFURICUM LM15, CALCIUM SULFURICUM LM18, CALCIUM SULFURICUM LM24, CALCIUM SULFURICUM LM30",ES
2387,"CALCIUM SULFURICUM D6, CALCIUM SULFURICUM C5, CALCIUM SULFURICUM C7, CALCIUM SULFURICUM C9, CALCIUM SULFURICUM C15, CALCIUM SULFURICUM C30, CALCIUM SULFURICUM C200, CALCIUM SULFURICUM K200, CALCIUM SULFURICUM K1000, CALCIUM SULFURICUM K10000, CALCIUM SULFURICUM K50000, CALCIUM SULFURICUM K100000",ES
2382,"CALENDULA OFFICINALIS C5, CALENDULA OFFICINALIS C7, CALENDULA OFFICINALIS C9, CALENDULA OFFICINALIS C15, CALENDULA OFFICINALIS C30, CALENDULA OFFICINALIS C200",ES
2479,"CALENDULA OFFICINALIS C6, CALENDULA OFFICINALIS C3, CALENDULA OFFICINALIS C4, CALENDULA OFFICINALIS C5, CALENDULA OFFICINALIS C7, CALENDULA OFFICINALIS C9, CALENDULA OFFICINALIS C12, CALENDULA OFFICINALIS C15, CALENDULA OFFICINALIS C30, CALENDULA OFFICINALIS C100, CALENDULA OFFICINALIS C200, CALENDULA OFFICINALIS D12, CALENDULA OFFICINALIS D4, CALENDULA OFFICINALIS D6, CALENDULA OFFICINALIS D8, CALENDULA OFFICINALIS D30, CALENDULA OFFICINALIS K200, CALENDULA OFFICINALIS K1000, CALENDULA OFFICINALIS K10000",ES
3049,"CALENDULA OFFICINALIS D2, ACHILLEA MILLEFOLIUM D3, BELLIS PERENNIS D2, HYPERICUM PERFORATUM D2, ECHINACEA PURPUREA D2, HEPAR SULFURIS D8, ATROPA BELLADONNA D4, SYMPHYTUM OFFICINALE D8, ECHINACEA D2, ARNICA MONTANA D2, MERCURIUS SOLUBILIS HAHNEMANNI D8, HAMAMELIS VIRGINIANA D2, ACONITUM NAPELLUS D3, MATRICARIA RECUTITA D3",ES
3036,"CALENDULA OFFICINALIS, ACHILLEA MILLEFOLIUM, HYPERICUM PERFORATUM, LEDUM PALUSTRE TINTURA MADRE",ES
2439,"CALVATIA GIGANTEA D6, CALVATIA GIGANTEA C3, CALVATIA GIGANTEA C4, CALVATIA GIGANTEA C5, CALVATIA GIGANTEA C6, CALVATIA GIGANTEA C7, CALVATIA GIGANTEA C9, CALVATIA GIGANTEA C12, CALVATIA GIGANTEA C15, CALVATIA GIGANTEA C30, CALVATIA GIGANTEA C100, CALVATIA GIGANTEA C200, CALVATIA GIGANTEA D4, CALVATIA GIGANTEA D8, CALVATIA GIGANTEA D12, CALVATIA GIGANTEA D30, CALVATIA GIGANTEA K200, CALVATIA GIGANTEA K1000, CALVATIA GIGANTEA K10000",ES
1292,CAMELLIA SINENSIS,ES
2584,"CAMPHORA C200, CAMPHORA K1000, CAMPHORA C170, CAMPHORA LM6, CAMPHORA LM12, CAMPHORA LM15",ES
2484,"CAMPHORA C3, CAMPHORA C4, CAMPHORA C5, CAMPHORA C6, CAMPHORA C7, CAMPHORA C9, CAMPHORA C12, CAMPHORA C15, CAMPHORA C30, CAMPHORA C100, CAMPHORA C200, CAMPHORA D6, CAMPHORA D8, CAMPHORA D12, CAMPHORA D30, CAMPHORA K200, CAMPHORA K1000, CAMPHORA K10000",ES
2386,"CAMPHORA C7, CAMPHORA C15, CAMPHORA C30, CAMPHORA C200",ES
3173,"CAMPHORA OLEOS D3, ACHILLEA MILLEFOLIUM OLEOS D3, ARNICA MONTANA OLEOS D3, ATROPA BELLA-DONNA OLEOS D3, CALENDULA OFFICINALIS OLEOS D3, ECHINACEA OLEOS D3, HAMAMELIS VIRGINIANA OLEOS D3, HYPERICUM PERFORATUM OLEOS D3, RHUS TOXICODENDRON OLEOS D3, SOLANUM DULCAMARA OLEOS D3, STRYCHNOS NUX-VOMICA OLEOS D3",ES
1509,CANAGLIFLOZINA,ES
1004,CANAKINUMAB,ES
760,CANDESARTAN,ES
35,CANDESARTAN CILEXETILO,ES
1415,"CANDESARTAN, HIDROCLOROTIAZIDA",ES
2235,"CANDIDA ALBICANS C4, CANDIDA ALBICANS C5, CANDIDA ALBICANS C6, CANDIDA ALBICANS C7, CANDIDA ALBICANS C9, CANDIDA ALBICANS C12, CANDIDA ALBICANS C15, CANDIDA ALBICANS C30, CANDIDA ALBICANS C100, CANDIDA ALBICANS C200, CANDIDA ALBICANS D8, CANDIDA ALBICANS D12, CANDIDA ALBICANS D30, CANDIDA ALBICANS K200, CANDIDA ALBICANS K1000, CANDIDA ALBICANS K10000",ES
1860,CANGRELOR,ES
2010,CANNABIDIOL,ES
2592,"CANNABIS SATIVA C170, CANNABIS SATIVA K700000, CANNABIS SATIVA LM1, CANNABIS SATIVA LM6, CANNABIS SATIVA LM9, CANNABIS SATIVA LM12, CANNABIS SATIVA LM21, CANNABIS SATIVA LM3",ES
2388,"CANNABIS SATIVA C4, CANNABIS SATIVA C5, CANNABIS SATIVA C7, CANNABIS SATIVA C9, CANNABIS SATIVA C15, CANNABIS SATIVA C30, CANNABIS SATIVA C200, CANNABIS SATIVA K200, CANNABIS SATIVA K1000, CANNABIS SATIVA K10000",ES
1253,CAPECITABINA,ES
3342,CAPIVASERTIB,ES
1919,CAPLACIZUMAB,ES
2896,CAPMATINIB DIHIDROCLORURO MONOHIDRATO,ES
791,CAPSAICINA,ES
2469,"CAPSELLA BURSA-PASTORIS C3, CAPSELLA BURSA-PASTORIS C4, CAPSELLA BURSA-PASTORIS C5, CAPSELLA BURSA-PASTORIS C6, CAPSELLA BURSA-PASTORIS C7, CAPSELLA BURSA-PASTORIS C9, CAPSELLA BURSA-PASTORIS C12, CAPSELLA BURSA-PASTORIS C15, CAPSELLA BURSA-PASTORIS C30, CAPSELLA BURSA-PASTORIS C100, CAPSELLA BURSA-PASTORIS C200, CAPSELLA BURSA-PASTORIS D4, CAPSELLA BURSA-PASTORIS D6, CAPSELLA BURSA-PASTORIS D8, CAPSELLA BURSA-PASTORIS D12, CAPSELLA BURSA-PASTORIS D30, CAPSELLA BURSA-PASTORIS K200, CAPSELLA BURSA-PASTORIS K1000, CAPSELLA BURSA-PASTORIS K10000",ES
2480,"CAPSICUM ANNUUM C3, CAPSICUM ANNUUM C4, CAPSICUM ANNUUM C5, CAPSICUM ANNUUM C6, CAPSICUM ANNUUM C7, CAPSICUM ANNUUM C9, CAPSICUM ANNUUM C12, CAPSICUM ANNUUM C15, CAPSICUM ANNUUM C30, CAPSICUM ANNUUM C100, CAPSICUM ANNUUM C200, CAPSICUM ANNUUM D4, CAPSICUM ANNUUM D6, CAPSICUM ANNUUM D8, CAPSICUM ANNUUM D12, CAPSICUM ANNUUM D30, CAPSICUM ANNUUM K200, CAPSICUM ANNUUM K1000, CAPSICUM ANNUUM K10000",ES
501,CAPSICUM OLEORRESINA,ES
498,CAPTOPRIL,ES
223,CARBAMAZEPINA,ES
78,CARBAMAZEPINUM,MD
786,CARBETOCINA,ES
1436,CARBIMAZOL,ES
2233,"CARBO ANIMALIS C4, CARBO ANIMALIS C5, CARBO ANIMALIS C6, CARBO ANIMALIS C7, CARBO ANIMALIS C9, CARBO ANIMALIS C12, CARBO ANIMALIS C15, CARBO ANIMALIS C30, CARBO ANIMALIS C100, CARBO ANIMALIS C200, CARBO ANIMALIS D8, CARBO ANIMALIS D12, CARBO ANIMALIS D30, CARBO ANIMALIS K200, CARBO ANIMALIS K1000, CARBO ANIMALIS K10000",ES
2258,"CARBO VEGETABILIS C4, CARBO VEGETABILIS C5, CARBO VEGETABILIS C6, CARBO VEGETABILIS C7, CARBO VEGETABILIS C9, CARBO VEGETABILIS C15, CARBO VEGETABILIS C30, CARBO VEGETABILIS C200, CARBO VEGETABILIS D6, CARBO VEGETABILIS D8, CARBO VEGETABILIS K200, CARBO VEGETABILIS K1000, CARBO VEGETABILIS K10000, CARBO VEGETABILIS K50000, CARBO VEGETABILIS K100000, CARBO VEGETABILIS LM1, CARBO VEGETABILIS LM2, CARBO VEGETABILIS LM3, CARBO VEGETABILIS LM6, CARBO VEGETABILIS LM9, CARBO VEGETABILIS LM12",ES
2488,"CARBO VEGETABILIS C4, CARBO VEGETABILIS D12, CARBO VEGETABILIS C5, CARBO VEGETABILIS C6, CARBO VEGETABILIS C7, CARBO VEGETABILIS C9, CARBO VEGETABILIS C12, CARBO VEGETABILIS C15, CARBO VEGETABILIS C30, CARBO VEGETABILIS C100, CARBO VEGETABILIS C200, CARBO VEGETABILIS D6, CARBO VEGETABILIS D8, CARBO VEGETABILIS K200, CARBO VEGETABILIS K1000, CARBO VEGETABILIS K10000, CARBO VEGETABILIS D30",ES
2631,"CARBO VEGETABILIS C7, CARBO VEGETABILIS C9, CARBO VEGETABILIS C30, CARBO VEGETABILIS C200, CARBO VEGETABILIS K700000, CARBO VEGETABILIS LM1, CARBO VEGETABILIS LM2, CARBO VEGETABILIS LM3, CARBO VEGETABILIS LM4, CARBO VEGETABILIS LM6, CARBO VEGETABILIS LM9, CARBO VEGETABILIS LM12, CARBO VEGETABILIS LM15, CARBO VEGETABILIS LM18, CARBO VEGETABILIS LM21, CARBO VEGETABILIS LM24, CARBO VEGETABILIS LM27, CARBO VEGETABILIS LM30, CARBO VEGETABILIS C170",ES
716,CARBOCISTEINA,ES
1262,CARBOCISTEINA LISINA,ES
68,CARBOCISTEINUM,MD
2489,"CARBOLICUM ACIDUM C3, CARBOLICUM ACIDUM C4, CARBOLICUM ACIDUM C5, CARBOLICUM ACIDUM C6, CARBOLICUM ACIDUM C7, CARBOLICUM ACIDUM C9, CARBOLICUM ACIDUM C12, CARBOLICUM ACIDUM C15, CARBOLICUM ACIDUM C30, CARBOLICUM ACIDUM C100, CARBOLICUM ACIDUM C200, CARBOLICUM ACIDUM D4, CARBOLICUM ACIDUM D6, CARBOLICUM ACIDUM D8, CARBOLICUM ACIDUM D12, CARBOLICUM ACIDUM D30, CARBOLICUM ACIDUM K200, CARBOLICUM ACIDUM K1000, CARBOLICUM ACIDUM K10000",ES
579,CARBOMERO,ES
246,CARBON ACTIVO,ES
73,CARBON ADSORBENTE,ES
2490,"CARBONEUM SULFURATUM C3, CARBONEUM SULFURATUM C4, CARBONEUM SULFURATUM C5, CARBONEUM SULFURATUM C6, CARBONEUM SULFURATUM C7, CARBONEUM SULFURATUM C9, CARBONEUM SULFURATUM C12, CARBONEUM SULFURATUM C15, CARBONEUM SULFURATUM C30, CARBONEUM SULFURATUM C100, CARBONEUM SULFURATUM C200, CARBONEUM SULFURATUM D6, CARBONEUM SULFURATUM D8, CARBONEUM SULFURATUM D12, CARBONEUM SULFURATUM D30, CARBONEUM SULFURATUM K200, CARBONEUM SULFURATUM K1000, CARBONEUM SULFURATUM K10000",ES
2023,CARBONO-99M TC (AEROSOL),ES
658,CARBOPLATINO,ES
1198,CARDO MARIANO,ES
1644,CARFILZOMIB,ES
562,CARGLUMICO ACIDO,ES
1846,CARIPRAZINA HIDROCLORURO,ES
1397,CARMELOSA SODICA,ES
3373,CARMIN DE INDIGO,ES
1659,CARMUSTINA,ES
2505,"CARNITINA HIDROCLORURO, ASPARTATO ARGININA, CIPROHEPTADINA HIDROCLORURO",ES
3533,"CARNITINA HIDROCLORURO, LISINA HIDROCLORURO, CIPROHEPTADINA HIDROCLORURO",ES
2402,"CARRAGAHEN, TITANIO OXIDO, LIDOCAINA",ES
509,CARTEOLOL HIDROCLORURO,ES
56,CARVEDILOL,ES
38,CARVEDILOLUM,MD
1195,CASCARA SAGRADA,ES
2094,"CASCARA SAGRADA, ALOE FEROX POLVO",ES
1837,CASPOFUNGINA,ES
1749,CASPOFUNGINA ACETATO,ES
