,name,source
2543,"ACIDUM ARSENICOSUM C3, ACIDUM ARSENICOSUM C6, ACIDUM ARSENICOSUM C7, ACIDUM ARSENICOSUM C15, ACIDUM ARSENICOSUM C30, ACIDUM ARSENICOSUM C200, ACIDUM ARSENICOSUM LM1, ACIDUM ARSENICOSUM LM2, ACIDUM ARSENICOSUM LM3, ACIDUM ARSENICOSUM LM5, ACIDUM ARSENICOSUM LM6, ACIDUM ARSENICOSUM LM9, ACIDUM ARSENICOSUM LM12, ACIDUM ARSENICOSUM LM15, ACIDUM ARSENICOSUM LM18, ACIDUM ARSENICOSUM LM21, ACIDUM ARSENICOSUM LM30, ACIDUM ARSENICOSUM C170, ACIDUM ARSENICOSUM K700000, ACIDUM ARSENICOSUM LM4, ACIDUM ARSENICOSUM LM7, ACIDUM ARSENICOSUM LM8, ACIDUM ARSENICOSUM LM10, ACIDUM ARSENICOSUM LM24, ACIDUM ARSENICOSUM LM27, ACIDUM ARSENICOSUM LM33, ACIDUM ARSENICOSUM LM36, ACIDUM ARSENICOSUM LM39, ACIDUM ARSENICOSUM LM40, ACIDUM ARSENICOSUM LM42, ACIDUM ARSENICOSUM LM45",ES
2374,"ACIDUM ARSENICOSUM D8, ACIDUM ARSENICOSUM C3, ACIDUM ARSENICOSUM C4, ACIDUM ARSENICOSUM C5, ACIDUM ARSENICOSUM C6, ACIDUM ARSENICOSUM C7, ACIDUM ARSENICOSUM C9, ACIDUM ARSENICOSUM C12, ACIDUM ARSENICOSUM C15, ACIDUM ARSENICOSUM C30, ACIDUM ARSENICOSUM C100, ACIDUM ARSENICOSUM C200, ACIDUM ARSENICOSUM D30, ACIDUM ARSENICOSUM K200, ACIDUM ARSENICOSUM K1000, ACIDUM ARSENICOSUM K10000, ACIDUM ARSENICOSUM K50000, ACIDUM ARSENICOSUM K100000, ACIDUM ARSENICOSUM K300000, ACIDUM ARSENICOSUM K500000, ACIDUM ARSENICOSUM LM1, ACIDUM ARSENICOSUM LM2, ACIDUM ARSENICOSUM LM3, ACIDUM ARSENICOSUM LM5, ACIDUM ARSENICOSUM LM6, ACIDUM ARSENICOSUM LM9, ACIDUM ARSENICOSUM LM12, ACIDUM ARSENICOSUM LM15, ACIDUM ARSENICOSUM LM18, ACIDUM ARSENICOSUM LM21, ACIDUM ARSENICOSUM LM30",ES
2337,"ACIDUM ARSENICOSUM D8, ACIDUM ARSENICOSUM C3, ACIDUM ARSENICOSUM C4, ACIDUM ARSENICOSUM C5, ACIDUM ARSENICOSUM C6, ACIDUM ARSENICOSUM C7, ACIDUM ARSENICOSUM C9, ACIDUM ARSENICOSUM C12, ACIDUM ARSENICOSUM C15, ACIDUM ARSENICOSUM C30, ACIDUM ARSENICOSUM C100, ACIDUM ARSENICOSUM C200, ACIDUM ARSENICOSUM D6, ACIDUM ARSENICOSUM D12, ACIDUM ARSENICOSUM D30, ACIDUM ARSENICOSUM K200, ACIDUM ARSENICOSUM K1000, ACIDUM ARSENICOSUM K10000",ES
54,ACIDUM FOLICUM,MD
2719,"ACIDUM HYDROCHLORICUM C3, ACIDUM HYDROCHLORICUM C4, ACIDUM HYDROCHLORICUM C5, ACIDUM HYDROCHLORICUM C6, ACIDUM HYDROCHLORICUM C7, ACIDUM HYDROCHLORICUM C9, ACIDUM HYDROCHLORICUM C12, ACIDUM HYDROCHLORICUM C15, ACIDUM HYDROCHLORICUM C30, ACIDUM HYDROCHLORICUM C100, ACIDUM HYDROCHLORICUM C200, ACIDUM HYDROCHLORICUM D4, ACIDUM HYDROCHLORICUM D6, ACIDUM HYDROCHLORICUM D8, ACIDUM HYDROCHLORICUM D12, ACIDUM HYDROCHLORICUM D30, ACIDUM HYDROCHLORICUM K200, ACIDUM HYDROCHLORICUM K1000, ACIDUM HYDROCHLORICUM K10000",ES
2412,"ACIDUM HYDROCHLORICUM C5, ACIDUM HYDROCHLORICUM C7, ACIDUM HYDROCHLORICUM C9, ACIDUM HYDROCHLORICUM C15, ACIDUM HYDROCHLORICUM C30, ACIDUM HYDROCHLORICUM C200, ACIDUM HYDROCHLORICUM K200, ACIDUM HYDROCHLORICUM K1000, ACIDUM HYDROCHLORICUM K10000, ACIDUM HYDROCHLORICUM LM3, ACIDUM HYDROCHLORICUM LM6, ACIDUM HYDROCHLORICUM LM9, ACIDUM HYDROCHLORICUM LM12, ACIDUM HYDROCHLORICUM LM15",ES
2418,"ACIDUM HYDROFLUORICUM C3, ACIDUM HYDROFLUORICUM C4, ACIDUM HYDROFLUORICUM C5, ACIDUM HYDROFLUORICUM C6, ACIDUM HYDROFLUORICUM C7, ACIDUM HYDROFLUORICUM C9, ACIDUM HYDROFLUORICUM C12, ACIDUM HYDROFLUORICUM C15, ACIDUM HYDROFLUORICUM C30, ACIDUM HYDROFLUORICUM C100, ACIDUM HYDROFLUORICUM C200, ACIDUM HYDROFLUORICUM D4, ACIDUM HYDROFLUORICUM D6, ACIDUM HYDROFLUORICUM D8, ACIDUM HYDROFLUORICUM D30, ACIDUM HYDROFLUORICUM K200, ACIDUM HYDROFLUORICUM K1000, ACIDUM HYDROFLUORICUM K10000, ACIDUM HYDROFLUORICUM D12",ES
2314,"ACIDUM HYDROFLUORICUM C5, ACIDUM HYDROFLUORICUM C7, ACIDUM HYDROFLUORICUM C9, ACIDUM HYDROFLUORICUM C15, ACIDUM HYDROFLUORICUM C30, ACIDUM HYDROFLUORICUM K200, ACIDUM HYDROFLUORICUM K1000, ACIDUM HYDROFLUORICUM K10000, ACIDUM HYDROFLUORICUM LM3, ACIDUM HYDROFLUORICUM LM6, ACIDUM HYDROFLUORICUM LM9, ACIDUM HYDROFLUORICUM LM30",ES
134,ACIDUM IBANDRONICUM,MD
2390,"ACIDUM LACTICUM D4, ACIDUM LACTICUM D6, ACIDUM LACTICUM C3, ACIDUM LACTICUM C4, ACIDUM LACTICUM C5, ACIDUM LACTICUM C6, ACIDUM LACTICUM C7, ACIDUM LACTICUM C9, ACIDUM LACTICUM C12, ACIDUM LACTICUM C15, ACIDUM LACTICUM C30, ACIDUM LACTICUM C100, ACIDUM LACTICUM C200, ACIDUM LACTICUM D8, ACIDUM LACTICUM D12, ACIDUM LACTICUM D30, ACIDUM LACTICUM K200, ACIDUM LACTICUM K1000, ACIDUM LACTICUM K10000",ES
2408,"ACIDUM NITRICUM C3, ACIDUM NITRICUM C4, ACIDUM NITRICUM C5, ACIDUM NITRICUM C6, ACIDUM NITRICUM C7, ACIDUM NITRICUM C9, ACIDUM NITRICUM C15, ACIDUM NITRICUM C30, ACIDUM NITRICUM C200, ACIDUM NITRICUM K200, ACIDUM NITRICUM K1000, ACIDUM NITRICUM K10000, ACIDUM NITRICUM K50000, ACIDUM NITRICUM K100000, ACIDUM NITRICUM K300000, ACIDUM NITRICUM LM3, ACIDUM NITRICUM LM6, ACIDUM NITRICUM LM9, ACIDUM NITRICUM LM12",ES
2721,"ACIDUM NITRICUM C3, ACIDUM NITRICUM C7, ACIDUM NITRICUM C30, ACIDUM NITRICUM C200, ACIDUM NITRICUM C170, ACIDUM NITRICUM K700000, ACIDUM NITRICUM LM1, ACIDUM NITRICUM LM2, ACIDUM NITRICUM LM3, ACIDUM NITRICUM LM4, ACIDUM NITRICUM LM5, ACIDUM NITRICUM LM6, ACIDUM NITRICUM LM9, ACIDUM NITRICUM LM12, ACIDUM NITRICUM LM14, ACIDUM NITRICUM LM15, ACIDUM NITRICUM LM21, ACIDUM NITRICUM LM24, ACIDUM NITRICUM LM30, ACIDUM NITRICUM LM18",ES
2744,"ACIDUM NITRICUM D6, ACIDUM NITRICUM D4, ACIDUM NITRICUM C3, ACIDUM NITRICUM C4, ACIDUM NITRICUM C5, ACIDUM NITRICUM C6, ACIDUM NITRICUM C7, ACIDUM NITRICUM C9, ACIDUM NITRICUM C12, ACIDUM NITRICUM C15, ACIDUM NITRICUM C30, ACIDUM NITRICUM C100, ACIDUM NITRICUM C200, ACIDUM NITRICUM D8, ACIDUM NITRICUM D12, ACIDUM NITRICUM D30, ACIDUM NITRICUM K200, ACIDUM NITRICUM K1000, ACIDUM NITRICUM K10000",ES
2758,"ACIDUM NITRICUM D6, GALIUM APARINE D4, URTICA URENS D4, PHOSPHORUS D8, ECHINACEA D5, APIS MELLIFICA D12, SEDUM ACRE D4, SEMPERVIVUM TECTORUM SSP. TECTORUM D4, CLEMATIS RECTA D4, THUJA OCCIDENTALIS D4, CALTHA PALUSTRIS D4, ONONIS SPINOSA D4, JUNIPERUS COMMUNIS D4, HEDERA HELIX D4, BETULA PENDULA D4, CALCIUM FLUORATUM D8, AURUM METALLICUM D10, ARGENTUM METALLICUM D8",ES
3166,"ACIDUM NITRICUM D6, LYCOPODIUM D6, BERBERIS VULGARIS D6, SARSAPARILLA DIL. D6",ES
2419,"ACIDUM OXALICUM C3, ACIDUM OXALICUM C4, ACIDUM OXALICUM C5, ACIDUM OXALICUM C6, ACIDUM OXALICUM C7, ACIDUM OXALICUM C9, ACIDUM OXALICUM C12, ACIDUM OXALICUM C15, ACIDUM OXALICUM C30, ACIDUM OXALICUM C100, ACIDUM OXALICUM C200, ACIDUM OXALICUM D4, ACIDUM OXALICUM D6, ACIDUM OXALICUM D8, ACIDUM OXALICUM D12, ACIDUM OXALICUM D30, ACIDUM OXALICUM K200, ACIDUM OXALICUM K1000, ACIDUM OXALICUM K10000",ES
2727,"ACIDUM OXALICUM C5, ACIDUM OXALICUM C9, ACIDUM OXALICUM C30, ACIDUM OXALICUM C200, ACIDUM OXALICUM K200, ACIDUM OXALICUM K700000, ACIDUM OXALICUM C170",ES
